id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1317106095601733634,2020-10-16 14:12:18,133,29,"É imperioso manter o auxílio emergencial de 600 reais enquanto durar a pandemia. Conclamo todos a apoiarem a campanha lançada pelas centrais sindicais, exigindo do Congresso a imediata votação dessa medida. 

Nenhum real a menos!"
1317106093672247297,2020-10-16 14:12:18,90,19,"Bolsonaro disparou um tiro de misericórdia contra os pobres e reduziu pela metade o valor do auxílio emergencial, de 600 para 300, além de excluir um grande número de beneficiários do programa. 

E avisou: o auxílio emergencial acaba em dezembro, mesmo que a pandemia continue."
1317106089473806339,2020-10-16 14:12:17,80,17,"Infelizmente, devido à política de desmonte do Estado praticada pelos últimos governos, o Brasil foi apanhado de calças curtas e entrou na pandemia com os estoques públicos de alimentos praticamente zerados."
1317106078354735105,2020-10-16 14:12:14,90,18,"Lamentavelmente o Brasil não tem o que festejar no Dia Mundial da Alimentação.

Ao contrário. Vivemos dias muito difíceis.

Em meio a uma pandemia que já ceifou 150 mil vidas, os preços dos principais alimentos dispararam."
1313472964512419841,2020-10-06 13:35:32,3201,860,"Imagine o Brasil enfrentando a pandemia sem o SUS? Sem o Samu, as UPAs. Imagine um país sem a Farmácia Popular. Em vários países, como nos EUA, o povo não tem acesso à saúde pública. Você conhece exatamente o que o PT fez pela saúde da sua família? #equipeLula https://t.co/mix4PGivAf"
1311989339572908032,2020-10-02 11:20:08,4836,1086,"Não podemos aceitar o discurso do governo de que a crise de alimentos veio por causa da pandemia. 

Eles destruíram nossos estoques reguladores. Qualquer governante sabe que não se exporta aquilo que você não tem pra abastecer o mercado interno. 

Lamentavelmente a fome voltou."
1311327053854244866,2020-09-30 15:28:27,3842,753,Não existe saída fora da política e quem prega isso está mentindo. Quem vai resolver o problema da pandemia é o Estado e não o mercado. E isso está demonstrado com o trabalho do SUS nessa pandemia.
1308359333789536258,2020-09-22 10:55:47,5708,785,"Para quem me pergunta sobre 2022: é muito cedo pra começar a discutir isso. Estamos em uma pandemia. O povo está sofrendo com o desemprego, com a fome. É isso que nós temos que discutir agora."
1304068867153690626,2020-09-10 14:47:01,712,176,"Nous sommes confiés à un gouvernement qui ne valorise pas la vie et banalise la mort. Un gouvernement insensible, irresponsable et incompétent qui a ignoré les normes de @WHO et a transformé le coronavirus en une arme de destruction massive. https://t.co/oRiBcelsyg"
1304068865685676034,2020-09-10 14:47:00,728,195,"We are in the hands of a government that cares not about life and trivializes death. An insensitive, irresponsible, and incompetent government, which disrespected the guidelines of the @WHO and turned the coronavirus into a weapon of mass destruction. https://t.co/NRQkRRf9Pm"
1303042679274602498,2020-09-07 18:49:18,1959,351,"O essencial hoje é vencer a pandemia, defender a vida e a saúde do povo. É pôr fim a esse desgoverno. Nessa empreitada árdua, mas essencial, eu me coloco à disposição do povo brasileiro, especialmente dos trabalhadores e dos excluídos."
1303042676523139072,2020-09-07 18:49:18,1979,351,"Para reconstruirmos o Brasil pós pandemia, precisamos de um novo contrato social entre todos os brasileiros. Um contrato social que garanta a todos o direito de viver em paz e harmonia."
1297931255015669763,2020-08-24 16:18:20,4860,581,"Recebi a triste notícia do falecimento de Sálvio Dino, pai do companheiro @FlavioDino. Nesses tempos de pandemia onde até o direito da despedida nos é cerceado, desejo que Deus console sua família, amigos e admiradores. https://t.co/ktf7gaLtab"
1296434946815471617,2020-08-20 13:12:32,4071,772,"São 111 mil mortos. A única arma que nós tínhamos contra o coronavírus era a sabedoria da ciência e não as invencionices do Bolsonaro. Ele não tem culpa pelo vírus, mas vai carregar a culpa pela postura que adotou na pandemia."
1292178430533029888,2020-08-08 19:18:40,2370,459,"7 - Deixo meu abraço fraterno a todos que perderam alguém que amavam para o coronavírus. E neste dia de saudade, que honremos a vida daqueles que se foram promovendo a consciência. A solidariedade se faz obrigatória pra sairmos dessa crise."
1292178426636513281,2020-08-08 19:18:39,1509,291,"4 - Se o coronavírus revelou e resgatou a empatia do brasileiro, também mostrou um lado cruel do egoísmo, do desprezo pela vida de nossos mais velhos e vulneráveis. Que sofrem com o medo e o isolamento, abandonados à própria sorte pela desorientação do presidente da República."
1292178422366699521,2020-08-08 19:18:38,11753,2214,"1 - 100 mil vidas. Em 144 dias, o coronavírus levou embora precocemente 100 mil pais, mães, filhos, irmãos, avós. Eram amigos, conhecidos, eram trabalhadores que se viram obrigados a deixar seus lares e lutar pelo pão de cada dia."
1291392753553870850,2020-08-06 15:16:40,4100,919,"Essa semana o Bolsonaro vetou a indenização às famílias de mais de 600 profissionais de saúde vítimas do coronavírus. Foram médicos, enfermeiros e técnicos que morreram na linha de frente sem nenhum tipo de solidariedade."
1289219296585900032,2020-07-31 15:20:07,4640,1034,São 91 mil mortes pelo coronavírus. É um verdadeiro genocídio. Isso não pode ser naturalizado. A morte não pode doer só quando chega na casa da gente. Enquanto isso o presidente da República cumprimentando as pessoas sem máscara.
1289199114907983874,2020-07-31 13:59:55,1530,270,Toda solidariedade aos profissionais de saúde que estão na linha de frente na luta contra o coronavírus. https://t.co/nVAi9L2NiF
1288211825713184776,2020-07-28 20:36:47,14923,1469,"Rodrigo Rodrigues era alguém de quem nos sentíamos próximos através da televisão. Foi cedo demais, e isso podia ser evitado, se tivéssemos um presidente que não desprezasse as orientações da ciência e a gravidade da pandemia, o que torna tudo mais triste. https://t.co/2LKg1OhUiN"
1287391041948131334,2020-07-26 14:15:17,7501,1675,"""Os americanos tratam a América Latina como se fosse o quintal deles"". Entrevista para a rede de TV Al Jazeera sobre coronavírus, Trump, Lava Jato e FBI e o futuro da esquerda no Brasil.  #equipeLula ""https://t.co/iZXXDVlJoR"
1287021459584569344,2020-07-25 13:46:42,3874,659,"É muito triste que se vá nesse momento no qual sequer podemos prestar nossas últimas homenagens, mais uma das milhares de vidas brasileiras que perdemos nessa pandemia pela irresponsabilidade de algumas autoridades. 
https://t.co/Cjv1FadV7e"
1286687154593239041,2020-07-24 15:38:17,5504,1178,A humanidade está discutindo a renda básica. A pandemia só fez aprofundar a desigualdade e o avanço da tecnologia tem deixado uma parte dos trabalhadores do mundo à margem. O mundo inteiro agora começa a entender a importância do Estado no cuidado do povo.
1286464477932781569,2020-07-24 00:53:27,3538,447,"#TBT de um tempo sem coronavírus. 
Florianópolis (SC) - Caravana Lula pelo Brasil. 

Foto: Ricardo Stuckert https://t.co/G1k0XV4H8E"
1286360542928678914,2020-07-23 18:00:27,3762,795,A vacina contra o coronavírus precisa ser um bem público e de todos. https://t.co/yYu5jEXlrf
1285248378935410688,2020-07-20 16:21:06,1019,256,"Entrevista interessante de @petracostal para a @camanpour na @cnni sobre a pandemia e a democracia no Brasil: https://t.co/KkO4ULcUNU. E como a Petra diz, no pesadelo em que estamos presos, cada dia que Bolsonaro continua sendo presidente nos custa mais de mil mortes."
1284512107174735872,2020-07-18 15:35:26,9025,1572,"Eu gostaria de ter palavras só de esperança, mas tá difícil. São 77 mil mortos e 2 milhões de infectados. Bolsonaro não tem culpa por um vírus criado pela natureza. Mas estamos colhendo um genocídio por falta de competência do governo em não conter a pandemia."
1284241025532407810,2020-07-17 21:38:15,4293,381,"Hoje refleti muito sobre a morte dele. Nossa última entrevista foi há apenas duas semanas e ele estava bem, era um homem que se cuidava. Fica o alerta de que o coronavírus não escolhe raça, gênero, nem classe social. É um vírus que mata e que ainda não temos cura."
1283760378015612934,2020-07-16 13:48:19,9130,1555,"Estamos nos aproximando dos 2 milhões de casos de coronavírus no Brasil e não temos um ministro da Saúde.  Temos um general, quando deveríamos ter alguém que entendesse de medicina."
1283110824085782530,2020-07-14 18:47:14,7601,1540,1 - O Brasil viu o que seria a pandemia em outros países onde o coronavírus chegou primeiro. E não se preparou. Boicotaram a ciência e todos que tentaram preservar a vida. Bolsonaro induziu a rebeldia das pessoas contra aqueles que estavam prezando pelo bom senso.
1283097966857736192,2020-07-14 17:56:08,808,268,Impactos da pandemia no setor de comércio e serviços e os desafios do movimento sindical https://t.co/bUKf3WSL8U
1280582562470072325,2020-07-07 19:20:49,1231,21,"@osampaiogabriel @MarceloFreixo @danimontpsol @EliomarCoelho @Haddad_Fernando @renatasouzario @taliriapetrone @MottaTarcisio @gduvivier @GuilhermeBoulos @FabioPorchat Parabéns, companheiro Gabriel! Passando a pandemia, vamos fazer essa foto! 🚩"
1278469109479604231,2020-07-01 23:22:43,7426,1421,Qualquer remédio ou vacina que for descoberto contra o coronavírus tem que ser tornado um bem público. Essa deve ser uma campanha mundial. Não podemos admitir que nenhum país ou empresa queira lucrar às custas da vida de milhões de pessoas.
1278468264478347267,2020-07-01 23:19:21,1614,348,"O pessoal está achando que eu tô muito radical. Na verdade eu tô mais enojado com o papel das lideranças no mundo. E o coronavírus tá matando mais pobre, mais preto. Os ricos estão cada vez mais perversos."
1277596086845280259,2020-06-29 13:33:38,1549,306,"Se você alargar a base monetária, nesse momento de queda da demanda, não tem como ter inflação. Eu digo e repito que o ideal era ter imprimido dinheiro novo em um fundo específico para o coronavírus."
1277593983447961601,2020-06-29 13:25:16,21415,2655,"Se o Bolsonaro não mudar de comportamento nessa pandemia, nós vamos nos arrastar até 2022 chorando a morte de milhares de vidas que poderiam ter sido salvas."
1277590581309517826,2020-06-29 13:11:45,3530,612,"As lives tem um aspecto democrático. Muita gente está tendo acesso a conteúdos que antes não tinham. Acho que depois dessa pandemia a gente vai poder repensar a organização do mundo. Recuperar o humanismo, a solidariedade, o companheirismo. E a convivência na adversidade."
1277588092325490688,2020-06-29 13:01:52,2423,734,"Lula e Flávio Dino conversam sobre a crise do coronavírus, política e economia; acompanhe https://t.co/0NDoIFNh7I"
1277297107750268931,2020-06-28 17:45:36,8584,1909,"Um abaixo-assinado para que uma futura  vacina contra o coronavírus seja um direito de todos, não uma mercadoria. #equipeLula https://t.co/R3b1k6Wywj"
1276639498340884482,2020-06-26 22:12:29,1846,368,Eu acho que o que vai salvar a América Latina depois da pandemia é uma palavra chamada democracia. Uma democracia de Estado forte pra cuidar do povo. Porque o que essa crise demonstrou foi que o mercado não vai salvar a vida de ninguém.
