id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1316418382095437824,2020-10-14 16:39:34,1900,136,"O problema não está em quem superdimensionou a pandemia, @jairbolsonaro, mas sim em quem a subestimou. Foi isso que levou o Brasil a ter 150 mil mortes."
1316406064972279809,2020-10-14 15:50:38,1228,145,"Mais de 151 mil brasileiros mortos por Covid e 5 milhões de infectados. 

E o pior presidente do mundo vem falar que a pandemia foi superdimensionada. 

Isso é um DESRESPEITO com as famílias das vítimas! É a INCOMPETÊNCIA sem dimensão de Bolsonaro em enfrentar a crise. Canalha!"
1316002749268590597,2020-10-13 13:08:00,3502,716,"Estudo aponta que quando Bolsonaro minimiza a pandemia, o isolamento diminui e mais pessoas se contaminam e morrem por Covid. O mesmo acontece em cidades em que Bolsonaro tem mais apoio. É por isso que falamos que Bolsonaro é genocida. A ciência comprova! https://t.co/Y3UgKEe7ep"
1315998206203957249,2020-10-13 12:49:57,3356,254,"Em plena pandemia, o bolsonarista Luciano Hang inaugurou uma loja em Belém com aglomeração e sem nenhuma medida de segurança contra a Covid. Isso é crime contra a Saúde Pública! Genocidas! https://t.co/6tN3Om0yer"
1315019316950192135,2020-10-10 20:00:11,1287,145,"150 mil brasileiros mortos por Covid. Chegamos a essa marca após 2 meses de alcançarmos 100 mil óbitos e 7 meses depois da 1ª morte. Toda solidariedade às famílias das vítimas. Apesar de alguns governantes ignorarem a gravidade e desprezarem a vida, a pandemia não acabou."
1314927674327007232,2020-10-10 13:56:02,1970,188,"Ontem o mundo bateu recorde de casos de Covid-19. 

O Brasil está chegando a 150 mil mortes. 

A pandemia não acabou. 

E Bolsonaro continua com sua postura genocida de desprezar essa grave situação e debochar das vidas dos brasileiros."
1314630359175360518,2020-10-09 18:14:36,1390,154,"É inacreditável que Presidente perca seu tempo postando algo tão ignorante perante aos fatos históricos. Facínora é quem tem 150 mil mortes nas mãos. Que tal dedicar o seu tempo pra renda básica, saúde, educação e enfrentar a pandemia? Mas não. Só reproduz ódio e desinformação. https://t.co/RREsDd7srG"
1314565648228458499,2020-10-09 13:57:28,5254,752,"DEFENDAM O SUS. Já parou pra imaginar como estaríamos se o SUS fosse privatizado? Já imaginou como estaria a pandemia? É preciso lutar pelo seu fortalecimento, melhoria e uma gestão mais eficiente dos serviços públicos."
1313977732297039874,2020-10-07 23:01:18,433,40,"Sem contabilizar San Marino, cuja população é 30 mil pessoas e registrou 42 mortes, o Brasil é o 3º pais com mais mortes de Covid por milhão de habitantes. O dado é do Worldometers. Enquanto isso, Bolsonaro segue ignorando a pandemia. Toda solidariedade a famílias das vítimas."
1313917338731900929,2020-10-07 19:01:19,4251,552,"O ministro da Saúde disse que ""nem sabia nem o que era o SUS"". Em plena pandemia que já matou quase 150 mil brasileiros, nós não temos sequer um ministro da Saúde com experiência na área. Isso é um desgoverno!"
1313199025974398978,2020-10-05 19:27:00,3510,398,Mais de um milhão de mortes por coronavírus no mundo e Trump ainda diz para as pessoas não terem medo do Covid. Os EUA lideram o ranking de óbitos com mais de 200 mil vítimas. Brasil está em segundo. Os piores presidentes do mundo.
1311731885148643328,2020-10-01 18:17:06,681,88,"Hoje, na Comissão do Pantanal, ouvimos relatos da população pantaneira, indígena e quilombola. Eles falaram das dificuldades de assistência médica, problemas respiratórios, de olhos lacrimejando, falta de água e, recursos naturais prejudicados pelo fogo. Sem contar a pandemia."
1311634289184956416,2020-10-01 11:49:18,12200,2262,"Fica a pergunta: presidente @jairbolsonaro, por que o senhor desviou a finalidade de R$7,5 MILHÕES doados para compra de testes de Covid-19 e repassou o dinheiro para o projeto de sua esposa Michelle no auge da pandemia?"
1311277392766349313,2020-09-30 12:11:07,668,80,"Em plena pandemia, com 36,5mil infectados e quase 200 mortos dentro dos presídios, o Ministério da Saúde quer diminuir as equipes de saúde prisionais. Os profissionais que já atendem 1,2mil detentos passariam a atender 2,7mil. No Brasil não existe pena de morte, Pazuello! ABSURDO"
1310928237426606080,2020-09-29 13:03:42,2355,247,"Bolsonaro não quer trabalhar. Mais uma vez ele foge à responsabilidade e coloca a culpa nos outros. Cabe ao presidente propor uma solução pra continuidade da renda básica. Cabe a ele conduzir o país na pandemia, mas ele, como sempre, lava as mãos. É o pior presidente do mundo."
1310753622574202880,2020-09-29 01:29:50,4098,403,O mundo acaba de chegar a 1 milhão de mortos por Covid. O Brasil é o 2º país com mais óbitos: passamos de 142 mil. Toda solidariedade aos familiares das vítimas. A pandemia não acabou e Bolsonaro continua tratando essa crise com descaso e deboche com a vida dos brasileiros.
1310328958198657037,2020-09-27 21:22:23,3925,188,"Ter esse jogo foi um dos maiores absurdos que já vi. Aliás, para a CBF não existe pandemia."
1309147099095805954,2020-09-24 15:06:05,983,118,"Combater a desigualdade tem que ser dever de TODOS, ministro da Educação. Aliás, sabe quanto seu governo investiu para garantir internet nas escolas públicas pra que alunos possam assistir às aulas online na pandemia? NADA! Destruir a educação é projeto político de Bolsonaro."
1308550802093506562,2020-09-22 23:36:37,9482,1160,"Não, Bolsonaro, você nunca se empenhou em combater a pandemia. Desde o início você minimizou o vírus, chamou de ""gripezinha"", que só os fracos pegariam, desrespeitou as recomendações sanitárias, provocou aglomeração, estimulou que brasileiros não usassem máscara. Canalha!"
1308547800863473665,2020-09-22 23:24:42,2455,309,Bolsonaro falou na ONU que seu desgoverno deu assistência a famílias indígenas com comida e prevenção à Covid. Mas a verdade é que ele vetou a obrigação do governo de garantir acesso à água potável e leitos aos índios na pandemia. Bolsonaro é um cara de pau mesmo!
1305654798092558336,2020-09-14 23:48:56,3089,299,"Depois de meses de experiência, Pazuello mostrou sua ineficiência em combater a  pandemia, qualidade necessária pra fazer parte do desgoverno Bolsonaro. Foi efetivado."
1305650286242009090,2020-09-14 23:31:00,9694,1069,"URGENTE! Bolsonaro decide efetivar Pazuello como ministro da Saúde. Estamos vivendo a maior crise sanitária do país com uma pandemia que já matou mais de 132 mil brasileiros, e o Ministério da Saúde segue tomado por militares, a maioria sem experiência na área. Desgoverno!"
1304500311931973633,2020-09-11 19:21:25,3695,381,Quase 130 mil brasileiros mortos por Covid e o pior presidente do mundo tá aí dizendo que o Brasil foi um dos países que menos sofreu com a pandemia. Francamente! Bolsonaro é o responsável por essa crise e nem sequer tem a humanidade de se solidarizar com as famílias das vítimas!
1304098015347646465,2020-09-10 16:42:50,67,5,"Amanhã participarei da live ""Educação em tempos de pandemia"" do @congemfoco. Acompanhem! https://t.co/RlknTuVc4v"
1303741832640311296,2020-09-09 17:07:29,1,0,"@jullyocarvalho Pra evitar desentendimentos. Nossa posição sempre foi contrária à reabertura dos escolas enquanto não superarmos a pandemia. Isso é colocar a vida dos alunos, educadores e das famílias em risco."
1303740586663575552,2020-09-09 17:02:32,582,70,"Não podemos pensar na volta às aulas sem o controle da pandemia, planejamento, testagem em massa e rastreamento dos infectados. Os lugares que adotaram essas medidas conseguiram conter o contágio e as mortes. Esse é o caminho pra uma reabertura segura e responsável. #VoltaÀsAulas"
1303739788768481288,2020-09-09 16:59:22,1,0,"@jullyocarvalho É sobre isso que estamos falando. Não podemos pensar na reabertura das escolas sem o controle da pandemia. Não podemos colocar crianças, educadores e suas famílias em risco. Salvar vidas é prioridade."
1303738825324273665,2020-09-09 16:55:32,4,0,"@hologr4m5 É sobre isso que falo, Alberto. Não podemos pensar na reabertura das escolas sem o controle da pandemia. Não é o momento para isso. Preservar vidas tem que ser prioridade."
1302977628257820674,2020-09-07 14:30:49,3339,274,"Bolsonaro, um país independente não ignora uma pandemia que já matou mais de 126 mil pessoas. Um país independente não atenta contra a Saúde pública. Criminoso!"
1302671852083580931,2020-09-06 18:15:46,12917,1841,"Muitos achavam que assistiríamos saques de pessoas pobres durante a pandemia. Mas, assistimos o banqueiro saqueando os pobres. Paulo Guedes reduziu o salário mínimo e o valor do auxílio emergencial."
1301996840431296512,2020-09-04 21:33:31,5292,498,"Se lembram da pandemia da Itália? Na época, Bolsonaro disse que a doença iria passar. Hoje nós passamos a Itália em nº de mortes por milhão de habitantes. Tivemos todo esse tempo pra nos prevenir, mas o presidente é incompetente. Toda solidariedade aos familiares das vítimas."
1301968237710790656,2020-09-04 19:39:51,741,102,Bolsonaro é um genocida e atenta contra a saúde pública. Pedir para o menino tirar a máscara em meio a uma pandemia que já matou quase 125 mil brasileiros é estimular que a população não se proteja da doença. É criminoso! Bolsonaro é o pior presidente do mundo. https://t.co/pYAImuAux8
1301197077150666752,2020-09-02 16:35:32,0,0,"@O_Victorino Combater a corrupção não tem que ser só na pandemia, mas sempre. Assim fizemos com Cabral, Eduardo Cunha, Flávio Bolsonaro... (vários apoiados pelos Bolsonaros). Isso sim é lutar contra corrupção. O que adianta falar de penas maiores e apoiar Salles e esse governo?"
1301155134831984645,2020-09-02 13:48:53,3,0,"@julianoalbuque Combater a corrupção não tem que ser só na pandemia, mas SEMPRE! Assim fizemos com Cabral, Eduardo Cunha, Flávio Bolsonaro... (vários apoiados pelos Bolsonaros). Isso sim é lutar contra corrupção. O que adianta falar de penas maiores e apoiar Salles e esse governo? Hipocrisia!"
1300907174546284547,2020-09-01 21:23:34,399,80,"VIVA A LUTA INDÍGENA! Famílias pataxós da Aldeia Novos Guerreiros, na Bahia, estão ameaçadas de serem expulsas de suas terras. Isso é grave e ILEGAL pq contraria a decisão do STF, que proibiu a reintegrações de posse durante a pandemia. Todo nosso apoio aos pataxós! #LutaPataxo"
1300895847547375617,2020-09-01 20:38:34,3401,537,"O governo de Bolsonaro usa dinheiro público pra fazer propaganda antivacina, disseminando desinformação e insegurança em plena pandemia que já matou mais de 121 mil brasileiros. Além de ser incapaz de salvar vidas, Bolsonaro espalha o medo. É o pior presidente do mundo."
1300844544859222017,2020-09-01 17:14:42,14875,1770,"Bolsonaro é o pior presidente do mundo na pandemia. Não salvou vidas, ignorou os profissionais de saúde. Agora, temos a maior queda do PIB nos últimos 25 anos. Desumano e incompetente !!"
1300837590581612546,2020-09-01 16:47:04,4174,549,"Em vez de pagar melhores salários aos profissionais de Saúde, que estão trabalhando incansavelmente nesta pandemia pra salvar vidas, Crivella usa DINHEIRO PÚBLICO para bancar sua milícia política. CRIMINOSO! https://t.co/J7gVial5Cq"
1300411571542339585,2020-08-31 12:34:13,13773,2051,Você sabia que a fortuna de 42 bilionários brasileiros cresceu US$ 34 bilhões só durante a pandemia? Os super-ricos pagam pouquíssimos impostos. Nós queremos taxar a fortuna desse 1% dos brasileiros pra reduzir os impostos pagos pelos pobres e classe média.
1300089428287934464,2020-08-30 15:14:08,12355,1652,Vocês sabem o quanto Bolsonaro investiu para garantir internet nas escolas públicas para que nossas crianças estudem e assistam aulas online durante a pandemia? Nem um centavo! Bolsonaro está acabando com o futuro do nosso país.
1299064513535369216,2020-08-27 19:21:30,529,83,"Famílias pataxós da Aldeia Novos Guerreiros, na Bahia, estão sendo expulsas ILEGALMENTE de suas terras. Isso é muito grave e contraria a decisão do STF, que proibiu a reintegrações de posse durante a pandemia. Todo apoio à luta indígena!"
1298697237602738182,2020-08-26 19:02:04,4707,552,Hoje completamos 102 dias sem ministro da Saúde em plena pandemia que já vitimou mais de 115 mil brasileiros. Não há prova maior de que este governo é genocida.
1296876904579059714,2020-08-21 18:28:43,858,51,"Como professor e filho de educadores, é uma honra ganhar o prêmio de deputado que mais defendeu a Educação em 2020 no Prêmio @congemfoco. Dedico esse prêmio aos educador, que, neste momento de pandemia, não podem retornar às salas de aula. Seguiremos juntos em defesa da Educação. https://t.co/Aaz4xgkRoW"
1296552528646201344,2020-08-20 20:59:46,2438,321,"Congelar os salários de profissionais da Saúde, da Educação, de Assistência Social, policiais e bombeiros, que estão trabalhando incansavelmente na linha de frente para combater a pandemia, é CRUEL. Eles não podem ser penalizados e pagar pela crise. #DerrubaVeto17"
1296456503847727105,2020-08-20 14:38:12,1236,93,Guedes queria vetar o socorro aos estados durante a pandemia.
1296412511638618114,2020-08-20 11:43:23,5285,318,A eficácia do governo Bolsonaro em combater a pandemia é nula.
1296156409894240256,2020-08-19 18:45:44,712,75,"Nós alcançamos a mesma taxa de mortalidade por Covid-19 dos EUA: 52,5 mortos por 100 mil habitantes. A pandemia chegou depois aqui no Basil. Poderíamos ter evitado esse caos que estamos vivemos, mas o governo Bolsonaro despreza a vida dos brasileiros."
1295833673162461190,2020-08-18 21:23:17,462,37,"Em março, no início da pandemia, apresentei uma indicação ao Ministério da Saúde para a realização de testagem e rastreamento dos infectados. Infelizmente isso não foi feito, e estamos chegando a 100 dias sem ministro da Saúde e contabilizando quase 110 mil mortes."
1292499859753373698,2020-08-09 16:35:54,194,30,"Todo apoio aos profissinais de Educação Física que estão lutando pela isenção ou prorrogação do pagamento das taxas cobradas pelo Conselho Regional de Educação Física no RJ. Muito trabalhadores estão sem renda por causa da pandemia. Assinem e divulguem.
https://t.co/A3gRHTZ2Hp"
1292108997500297218,2020-08-08 14:42:45,1474,340,"100 mil mortes, 100 mil famílias destruídas e um presidente que é incapaz do mais simples gesto de solidariedade aos brasileiros. Como chegamos até aqui? Pelas mãos de Bolsonaro, com sua incompetência e desprezo pela vida. Meus sentimentos às vítimas da pandemia.
#Bolsonaro100Mil https://t.co/16E0vT8sqE"
1291734631088365571,2020-08-07 13:55:09,4301,509,"O que o presidente tem a dizer a quase 100 mil famílias destruídas pela pandemia? Toquem a vida. Nenhuma palavra de solidariedade, nenhuma manifestação de compaixão aos brasileiros. E esse sujeito ainda se diz patriota e cristão."
1291151435434950658,2020-08-05 23:17:45,2548,221,"Conquistamos um vitória importante hoje, aprovamos a urgência na votação do projeto da bancada do PSOL que garante condições dignas de trabalho aos entregadores de aplicativo, como alimentação, água e materiais de higiene e proteção contra o coronavírus."
1290304226652901377,2020-08-03 15:11:14,57,2,"@TbCiro Não há risco de inflação ao colocar dinheiro em circulação nesse momento porque a demanda está lá embaixo, é uma condição singular provocada pela pandemia."
1289542578338066441,2020-08-01 12:44:43,4126,392,"A desigualdade é a principal doença brasileira. De cada 10 mortes por coronavírus na cidade do Rio, 8 estão nos bairros pobres. Nossa tragédia é anteiror à pandemia e exige ações imediatas. Reduzir esse abismo social tem que ser o centro do nosso novo projeto de Brasil."
1289249316264009728,2020-07-31 17:19:24,818,127,"É isso que o Ricardo Salles queria dizer quando falou em aproveitar a crise para passar a boiada. A quantidade de mudanças nas normas ambientais feitas pelo desgoverno Bolsonaro de março a maio, início da pandemia, foi 1.118% maior do que as realizadas no mesmo período de 2019."
1289194406524760066,2020-07-31 13:41:13,6794,749,"Mais um delinquente da rede de fake news bolsonarista fugiu do Brasil para tentar escapar da Justiça. Investigado no inquérito do STF, Allan dos Santos é um dos principais caluniadores, mentirosos e sabotadores do combate à pandemia desse bando."
1288925785387085827,2020-07-30 19:53:48,6400,1023,"Faltam anestésicos para pacientes entubados e testes para monitorar o avanço da doença, mas sobram milhões de comprimidos de cloroquina nos depósitos do desgoverno. Dinheiro desperdiçado numa pandemia significa vidas perdidas. Bolsonaro é responsável pelas mais de 90 mil mortes."
1288548691771613185,2020-07-29 18:55:22,1500,188,Um país onde bilionários ficam ainda + ricos durante uma pandemia está doente. Temos que inverter essa lógica que massacra milhões de famílias em benefício de um punhado de privilegiados. Por isso defendo uma reforma tributária que taxe os super-ricos p/ financiar a renda básica.
1288509567660371968,2020-07-29 16:19:54,5176,521,"Você mandaria médicos no lugar de soldados para lutar numa guerra? Pois é isso que está acontecendo no Ministério da Saúde, transformado num acampamento militar em plena pandemia."
1288244066212356096,2020-07-28 22:44:54,5637,871,"Enquanto milhões de famílias estão passando necessidade, o patrimônio dos bilionários brasileiros cresceu R$ 177 bilhões durante a pandemia. Quando defendemos a taxação de grandes fortunas para financiar a renda básica, é deles que nós estamos falando."
1287836561481052162,2020-07-27 19:45:37,17610,1584,"Ivermectina é tão inútil contra o coronavírus como Bolsonaro, concluíram os cientistas."
1287792177402253312,2020-07-27 16:49:15,3021,464,"Bolsonaro criou várias formas de sabotar o combate à pandemia. Uma delas é colocar militares que não entendem nada do assunto para comandar o Ministério da Saúde. O presidente semeia o caos e os brasileiros colhem a morte. São quase 90 mil vidas perdidas. 
#MinisterioDaMorte"
1287408673430675458,2020-07-26 15:25:21,6143,794,"Calúnia, difamação e disseminação de fake news sobre a pandemia são crimes. Ao acionar ilegalmente a AGU para reativar páginas de pessoas que praticam esses delitos, Bolsonaro + uma vez usa a presidência para defender atos criminosos. A quem interessa proteger o gabinete do ódio?"
1286740725711941638,2020-07-24 19:11:10,7721,765,"DERROTA DO GABINETE DO ÓDIO! O Facebook e o Twitter derrubaram dezenas de perfis e páginas vinculadas à rede de fake news bolsonarista. Essas contas não só caluniam adversários do presidente como publicam mentiras sobre a pandemia, colocando a vida de milhões em risco."
1286698304001265670,2020-07-24 16:22:36,2520,360,"Depois do feirão de cargos e de despejar dinheiro do combate à pandemia nas bases eleitorais do centrão, agora Bolsonaro está distribuindo emprego no governo a parentes dos deputados. Faz na presidência o que sempre fez nos gabinetes da família: farra com dinheiro público."
1286463019317428226,2020-07-24 00:47:39,1173,151,"O desgoverno Bolsonaro investiu menos de 30% do previsto no combate à pandemia, mas torrou tanto dinheiro c/ cloroquina que agora tem um estoque c/ 4 milhões de comprimidos. Botando nessa conta o uso da verba da saúde p/ comprar o centrão, chegamos ao resultado de 83 mil mortes."
1286351943288401923,2020-07-23 17:26:17,6587,1069,"Bolsonaro está usando dinheiro do combate à pandemia para comprar o apoio de deputados do centrão. Em vez de mandar os recursos para as cidades que mais precisam, o presidente está favorecendo as bases eleitorais dos parlamentares. A vida dos brasileiros virou moeda de troca."
1285983582633304070,2020-07-22 17:02:33,6011,893,"URGENTE! De cada R$ 100 reservados para combater a pandemia, o desgovenro Bolsonaro só investiu R$ 30. É mais do que incompetência, é descaso com a saúde dos brasileiros. Se o presidente desse valor a vida, não teríamos mais de 80 mil mortos e tantas famílias destruídas."
1285914753764929537,2020-07-22 12:29:03,37089,4133,Cloroquina não funciona na pandemia e Bolsonaro não funciona na presidência. Dois fakes.
1284535738181222401,2020-07-18 17:09:20,3538,444,"Pior do que o deboche do general dublê de ministro da Saúde sobre o AI-5 é ele ter liberado um medicamento que não funciona, tentado esconder o número de mortos, criticado o isolamento e dito que testagem não faz diferença em meio a uma pandemia que já matou mais de 78 mil."
1284099052875980800,2020-07-17 12:14:06,4869,708,Em que país do mundo o ministro da Saúde disse que testar não é importante numa pandemia? Os militares são cúmplices dos crimes de Bolsonaro contra a vida dos brasileiros. https://t.co/YNEsbsCs0f
1283890969130172420,2020-07-16 22:27:15,8080,880,URGENTE! O Brasil passou dos 2 milhões de infectados e lamentavelmente segue como novo epicentro da pandemia no mundo. Infelizmente quem paga a conta da incompetência e do descaso de Bolsonaro com a vida é o povo brasileiro. Minha solidariedade às famílias.
1283793514225184769,2020-07-16 16:00:00,1560,119,"VITÓRIA! Nós acabamos de aprovar na Câmara o projeto que garante socorro a projetos sociais ligados ao esporte e desportistas de base durante a pandemia. Esporte é vida, inclusão social e sustento de milhares de famílias. Seguimos trabalhando no Congresso para ajudar o Brasil."
