id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1311817137791676418,2020-10-01 23:55:52,42,1,"Ainda vivendo tempos de convivência com a pandemia, tivemos hoje um dia muito marcante. A inauguração do Hospital do Idoso, numa data especial e agora histórica, demonstra que seguimos no caminho que traçamos. Cuidar das pessoas é o maior compromisso que se pode ter."
1309600716537946113,2020-09-25 21:08:36,43,1,"Os números da pandemia estão em queda, mas o cuidado continua. O nosso Plano de Convivência avança, obedecendo a um planejamento criterioso. Assim todos vão podendo retomar outras agendas importantes. https://t.co/4ehI2VWXq9"
1304217497995010050,2020-09-11 00:37:37,59,3,"Hoje participei da reunião do Pacto pela Vida, monitorando resultados da nossa política de segurança. Alcançamos 3 anos seguidos na redução de roubos e assaltos. Temos que enfrentar a pandemia sem descuidar de outros desafios. O compromisso com a vida está em tudo o que fazemos."
1301669887975325698,2020-09-03 23:54:19,58,6,"A retomada das aulas é um dos maiores desafios da pandemia, na busca por dados e evidências que garantam maior segurança. A luta para proteger vidas, em meio a tantas variáveis e incertezas, exige prudência e equilíbrio. +

https://t.co/za14ERdyOc"
1296214958162796544,2020-08-19 22:38:23,57,8,"É imprescindível a prorrogação do Programa Emergencial de Manutenção do Emprego e da Renda (Lei 14020/20), criado para atender as empresas, durante a pandemia que ainda não acabou."
1294428654559211523,2020-08-15 00:20:15,94,13,"Já são 5 meses de duro combate ao novo coronavírus. Estamos em um momento menos difícil, aqui em Pernambuco, mas a situação ainda é grave. https://t.co/PVWzscsteh"
1292239421761355778,2020-08-08 23:21:01,186,24,"Mais de 100 mil mortes no país, trágica marca da pandemia. Em Pernambuco continuaremos firmes no combate à Covid-19, com prevenção, investimento em saúde, proteção social. O país vive um dia de pesar, mas precisamos seguir lutando do lado certo: a defesa da vida."
1284794280020717568,2020-07-19 10:16:41,167,16,"A Educação brasileira enfrenta problemas demais. Com recente ministro da “deseducação”, com a pandemia. Na hora de pensar em reconstrução, o governo federal quer andar no sentido contrário, para trás, propondo suspender o Fundeb em 2021 e desvirtuá-lo."
1273747210707107840,2020-06-18 22:39:34,269,15,"Vencer a pandemia é prioridade agora. Mas para o país ter algum rumo, que aponte o futuro, só com a Educação como eixo. Que o governo federal, enfim, comece a olhar o setor com a seriedade devida. Que o MEC realmente mude. Há vários bons exemplos nos estados brasileiros."
1270085885392977922,2020-06-08 20:10:46,97,12,"Muitas vidas de brasileiros estão perdidas e outras ameaçadas. Mas a nossa luta, com transparência e compromisso humano, continuará firme. Apesar dele, haveremos de vencer a pandemia."
1270085882222174209,2020-06-08 20:10:46,350,33,"Milhares de vidas foram salvas porque os estados brasileiros assumiram medidas de proteção, desde o princípio da pandemia, quando falas e atitudes do governo federal já contrariavam as orientações da OMS. E continuam negando a realidade."
1269415456949108736,2020-06-06 23:46:44,592,54,"Não se pode enfrentar uma pandemia sem ciência, transparência e ação. Negar a realidade é grave. Sonegar dados é ultrapassar os limites. E tentar - com cálculo perverso - impor fissuras ao nosso tecido democrático."
1267178126523740160,2020-05-31 19:36:23,466,58,"O ataque a instituições democráticas é  inaceitável. E o acirramento do ambiente só dificulta a superação da pandemia. O governo federal deveria mobilizar pessoas a favor de uma nação solidária e humana. Nossa luta é para salvar vidas e, também, o Brasil da ameaça de retrocessos."
1266072537718546433,2020-05-28 18:23:10,170,15,"Vivemos dias decisivos no enfrentamento à pandemia. Só o engajamento coletivo pode nos levar às condições que permitam a reabertura gradual da economia, que todos queremos. Não em um momento de crescimento da crise. O isolamento existe para reverter essa curva. https://t.co/cPFohSdA3W"
1263985682118258690,2020-05-23 00:10:44,68,2,"Permaneço atento ao que se passa no país, sempre a postos para atuar a favor de uma ação integrada, com foco na pauta prioritária. Precisamos vencer a pandemia, proteger as pessoas e a democracia. Mais do que nunca é hora de bom senso, respeito e humanidade."
1263985679966617601,2020-05-23 00:10:44,141,6,"Por aqui, sigo em recuperação, cumprindo o isolamento, coordenando por videoconferência o trabalho diário do nosso Gabinete de Crise. A pandemia é a crise que precisamos enfrentar, hoje. Não deve haver espaço para criar outras, descabidas e inoportunas. https://t.co/SdRvDvFoI6"
1261359129508974592,2020-05-15 18:13:46,197,23,"O presidente só investe em divisões internas e externas, a população sofre. Não se pode enfrentar uma pandemia pautado por ideologia, sem considerar ciência e realidade. Nossa única guerra é contra a Covid-19. Nela, infelizmente, o presidente é o comandante que não sabe liderar."
1261359127756001281,2020-05-15 18:13:45,423,43,"Em menos de 30 dias, em uma fase crítica da pandemia, o Brasil perde o segundo ministro da Saúde. Gestores locais têm adotado um caminho para combater a crise, ouvindo a ciência, o país parece não ter encontrado um. E milhares de vidas seguem expostas."
1259211448775069697,2020-05-09 19:59:39,188,13,"O decreto do Congresso Nacional, de luto no país pela trágica marca de 10 mil mortes causadas pela Covid-19, reforça a urgência: unirmos todas as forças na mesma direção, no combate à pandemia que segue provocando sofrimento para milhares de famílias. A ciência mostra o caminho."
1258579209829695488,2020-05-08 02:07:21,168,3,"Mais um dia de muito trabalho, dedicado a ações que nunca param neste combate à pandemia, que só tem crescido no país."
1257054755064512514,2020-05-03 21:09:43,90,9,"O Brasil precisa de ação integrada, com paz e responsabilidade, para superar o momento mais difícil e poder retomar, gradualmente, a vida sem isolamento. Construindo a nova normalidade pós-pandemia."
1257054752313147397,2020-05-03 21:09:42,286,27,"O enfrentamento à pandemia, uma guerra pela vida, agora acontece ao lado de outra luta, em defesa da democracia brasileira. Que o Dia da Liberdade de Imprensa alerte o país sobre a importância de se unir em torno de ideais humanitários, com respeito às pessoas e às instituições."
1253713838333140992,2020-04-24 15:54:06,97,6,"O país precisa de instituições fortes, de soluções que só podem vir da construção democrática, conduzida por valores republicanos. Enfrentar uma pandemia já é desafio suficiente, demanda ação conjunta e integrada. A começar pelo governo nacional. +"
1253448647443976193,2020-04-23 22:20:20,43,3,"Mesmo com os investimentos que estamos fazendo em novos leitos e na contratação de profissionais de saúde, o nosso sistema terá um limite diante do quadro de pandemia. Ficar em casa é o combate mais seguro."
