id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1317085393070616576,2020-10-16 12:50:02,884,151,"Durante a pandemia, a Eletrobras vendeu por R$ 500 milhões o maior complexo eólico da América Latina, que custou R$ 3,1 bilhões para o governo.
https://t.co/WvJO83D3Dt"
1316729387979542528,2020-10-15 13:15:24,1619,238,"Neste #DiaDoProfessor, só tenho a agradecer pelo trabalho incansável dos nossos educadores, principalmente durante a pandemia. Seguiremos na luta até que o Brasil todo tenha uma educação de qualidade, com professores reconhecidos e respeitados!

#tbt de 2019, com educadores de MG https://t.co/mp3KdtiMM7"
1316138696274595840,2020-10-13 22:08:12,7160,974,"Carol Solberg, nós gritamos por você, pelos milhões de desempregados, pela destruição ambiental do nosso país, pelos milhões de brasileiros que voltaram a sofrer com fome e pelas mais de 150 mil vítimas do coronavírus: #FORABOLSONARO!"
1315664104636416001,2020-10-12 14:42:21,3229,333,"Peço à Nossa Senhora Aparecida, padroeira do Brasil, que interceda junto ao Senhor pelo povo brasileiro, pelos milhões de desempregados, pelos semiescravizados na informalidade, pelas mais de 150 mil famílias dos mortos pela irresponsabilidade no enfrentamento do coronavírus."
1314692856376897536,2020-10-09 22:22:57,9684,1896,"A roubalheira neste governo é de braçada! Durante a pandemia, a Eletrobras vendeu por R$ 500 milhões uma usina eólica que custou R$ 3,1 bilhões. Considerado o maior complexo eólico da América Latina, a usina de Campos Neutrais teve, em 2017, lucro líquido de R$ 345 milhões."
1314586382157918209,2020-10-09 15:19:51,3261,426,"Os EUA lideram as mortes por coronavírus no mundo, em seguida vem o Brasil. Nosso país tem mais óbitos do que todos os países da América do Sul juntos. Resultado da forma irresponsável e negacionista que os piores presidentes do mundo enfrentam a pior crise de saúde da história!"
1313937571945345024,2020-10-07 20:21:43,2524,509,"""Nem sabia o que era SUS"", disse o ministro da Saúde escolhido por Bolsonaro no auge da pior crise de saúde pública da história! Mais de 147 mil brasileiros morreram por causa da forma irresponsável e genocida que estes desastrados enfrentam a pandemia! https://t.co/I2ZfHuRZrW"
1312896346505043969,2020-10-04 23:24:16,2710,221,"Primeira visita que faço à minha neta Maria Clara , à minha filha Lívia e meu genro Jorginho, desde o início da pandemia. Convido vocês para conhecer as histórias que ela conta lá no Instagram: @mariaclarasaboya ❤ https://t.co/u5C3jjnX6U"
1311984275835817984,2020-10-02 11:00:01,10645,1375,"Bom dia a todas e todos! Será que hoje Bolsonaro responde por que desviou R$7,5 milhões doados para compra de testes de Covid-19 e repassou o dinheiro para o projeto da sua esposa Michelle no auge da pandemia?"
1311779301184987148,2020-10-01 21:25:31,1523,223,"O insumo fundamental da aviação virou importado porque esses canalhas pararam de produzir no Brasil. Se o dólar aumenta, o preço das passagens de avião também, como já subiu em plena pandemia! Qual a explicação para isso a não ser vassalagem, entreguismo e corrupção generalizada?"
1311675129987031041,2020-10-01 14:31:35,3400,688,"Governo Bolsonaro bate mais um trágico recorde: entre os países que enfrentaram a pandemia, o real se consolidou como a moeda que mais se desvalorizou no mundo. Resultado da irresponsabilidade e incompetência dos senhores Jair Bolsonaro e Paulo Guedes! https://t.co/mF8yr3pLAp"
1307469522773987333,2020-09-20 00:00:00,1680,293,"""O SUS tem que ser nossa joia da coroa, nosso orgulho nacional. A gente só não afundou mais ainda na pandemia por conta do SUS"". Importante reflexão do professor Silvio Almeida @silviolual, no #RepareBem.

#DefendaoSUS #SUS30anos
Confira o vídeo completo: https://t.co/BbMfSmlPcd https://t.co/LqKQvfGgtt"
1307436641573838848,2020-09-19 21:49:21,4730,689,"O SUS resiste! Um dos maiores sistemas públicos de saúde do mundo completa 30 anos em meio a desafios como o subfinanciamento, teto de gastos, ataques do governo e pandemia. O povo brasileiro precisa e merece que o SUS seja valorizado. Saúde é dever do Estado e direito de todos!"
1304951098336309251,2020-09-13 01:12:41,16475,1413,"Bolsonaro vai responder, se não for nos tribunais brasileiros e internacionais, será perante a história. Agiu de forma anticientífica e irresponsável na pandemia, estimulou aglomeração em hora crítica, foi na contramão da ciência, indicou remédio como charlatão.Tudo será cobrado."
1304432522596691968,2020-09-11 14:52:03,2988,538,"Não tem propaganda que resista ao fato de que o Brasil está no pior momento da sua história. Parte pelo próprio legado do país, parte pq Bolsonaro faz um governo desastrado e criminoso: não poupou vidas na pandemia nem salvou o país da tragédia econômica. https://t.co/su8vMx7QYP"
1302728028741541888,2020-09-06 21:59:00,12407,3006,"Todo mundo já percebeu que o preço dos alimentos subiu. Isso não é por acaso. Veja o que eu disse no Roda Viva, ainda no início da pandemia. #CiroAvisou https://t.co/e4crz5v1y0"
1302028391856648195,2020-09-04 23:38:53,1220,219,"""O SUS tem que ser a nossa joia da coroa, o nosso orgulho nacional. A gente só não afundou mais ainda nessa pandemia por conta do SUS."" @silviolual 
#CiroeSilvioAlmeida"
1300550178345189376,2020-08-31 21:45:00,2174,418,"Mais de 120 mil brasileiros mortos, 107 dias sem ministro da Saúde e na hora que se discute um passo tão importante como a vacina contra o coronavírus, Bolsonaro nomeia um veterinário. Genocida! https://t.co/Gpj5q7DF9j"
1298713179329949702,2020-08-26 20:05:25,1892,352,"Mais de 100 dias sem ministro da Saúde, 116.964 brasileiros mortos e 3,6 milhões de infectados pelo coronavírus. A irresponsabilidade do Bolsonaro está transformando nosso país no epicentro da pandemia. Genocida! https://t.co/X0Y4fvkDba"
1292789038215098369,2020-08-10 11:45:00,1556,356,"21 estados brasileiros sofrem com a falta dos medicamentos para garantir a intubação das vítimas de coronavírus, enquanto isto, sobra estoque de cloroquina comprada a preço seis vezes maior e sem eficácia comprovada. https://t.co/ykbqQfKUR7"
1290410599302782980,2020-08-03 22:13:56,608,160,"É amanhã! Um debate sobre emprego e renda para Fortaleza no pós-pandemia. Espero vocês!

📢 Dê RT e ajude a divulgar https://t.co/SbV7nWkJX8"
1289310024750096384,2020-07-31 21:20:38,751,202,"20 milhões de desempregados, 110 milhões de brasileiros empurrados para a informalidade, a renda média despencando, 100 milhões de brasileiros com nome sujo no SPC, enquanto os 42 bilionários brasileiros ganharam 34 bilhões de dólares nesses 6 meses de pandemia. #CiroNaCNN"
1288930611269455898,2020-07-30 20:12:59,463,120,Começou o primeiro #JanelaspelaDemocracia temático. Hoje o assunto é pandemia e a irresponsabilidade do governo. Acompanhe! https://t.co/yyY5ODJOP6
1288901062372536320,2020-07-30 18:15:34,1632,300,Desrespeito com as mais de 90 mil vítimas do coronavírus. Irresponsabilidade assassina! https://t.co/9rysSqqBS3
1288579793206812676,2020-07-29 20:58:58,6186,1042,"O Brasil tem 42 bilionários na lista da Forbes. Nesse período de pandemia, esses 42 ganharam 34 bilhões de dólares! Esse valor foi incorporado ao patrimônio dos barões mais ricos do Brasil. Esse é o país que Bolsonaro e Guedes defendem."
1288573583514632194,2020-07-29 20:34:17,2944,631,"Estão faltando os componentes dos anestésicos para entubar pacientes vítimas de coronavírus em 21 estados brasileiros, enquanto isso, o governo comprou toneladas de cloroquina sem nenhuma retaguarda científica, por 6x o preço. Estão roubando em cima da doença do povo brasileiro!"
1288104898475642882,2020-07-28 13:31:54,757,138,Agora nós temos um protofascista completamente despreparado no meio de uma pandemia que já matou mais de 87 mil brasileiros. #CiroNoOtimista  (+)
1286772821293768705,2020-07-24 21:18:42,1475,328,"A proposta do governo chega a ser ridícula: aumenta a carga tributária para o setor de serviços, diminui a carga tributária para os bancos, que é o único setor que está ganhando dinheiro de braçada no auge da pandemia, e simplesmente desconsidera o que realmente precisamos fazer."
1285340876215070726,2020-07-20 22:28:40,2879,328,"O vírus não tem vacina nem remédio, então qualquer pessoa que diz o contrário é um charlatão, o que o presidente fez ainda ontem. A cloroquina tem efeitos colaterais muito perigosos e em nenhum momento, jamais, ela foi cogitada como cura, porque o coronavírus não tem cura."
1284226546157465609,2020-07-17 20:40:43,926,188,"""O novo Fundeb é o presente e o futuro da educação e do Brasil. Qual nação que pode se desenvolver sem apostar na educação? Especialmente no momento pós-pandemia."" @IdilvanAlencar #AprovaFundeb"
1284148354188861440,2020-07-17 15:30:00,1058,293,"Na pior crise de saúde pública da história, o Brasil sofre com a forma anticientífica, incompetente e genocida que Bolsonaro tem tratado a pandemia. #ImpeachmentJá para defender a vida do nosso povo!

Números de 17/07/2020, do Brasil e América do Sul. https://t.co/eR7hJ6JwEd"
