id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1316389282450419713,2020-10-14 14:43:56,6,3,"📈Até agora já entregamos 20 mil cestas e vamos distribuir mais 40 mil até o fim do ano.

🤝A fome não tem cor partidária. O RN Chega Junto é desenvolvido pela SETHAS, com recursos federais da Lei Complementar nº 173, que estabeleceu o Programa de Enfrentamento ao coronavírus. 
+ https://t.co/nk3qrv6A0Q"
1316389243376340993,2020-10-14 14:43:47,47,11,"👐🏽O Programa RN Chega Junto foi criado para atender necessidades básicas daquelas pessoas que padeceram e ainda padecem pelos efeitos da pandemia.

🌈 Hoje, nós entregando cestas básicas para a comunidade LGBTQI+ em situação de vulnerabilidade e povos de terreiro, e além disso... https://t.co/Oc8LUF3do4"
1315694762821914625,2020-10-12 16:44:10,2,0,"Desde o início da pandemia, entregamos 216 mil kits de cestas básicas aos alunos e alunas da Rede Estadual de Ensino de todas as regiões do RN. 

As aulas presenciais estão suspensas, já que não há garantia de segurança sanitária para as crianças, mas a merenda está garantida ..."
1315450967719059456,2020-10-12 00:35:25,56,18,"📺 #GovernodoRN promove aulas na TV aberta! 

A transmissão terá início dia 13 de outubro na Band RN como forma de democratizar o ensino remoto no contexto da pandemia. 

Além da veiculação na TV, as aulas ficarão disponíveis ainda no canal da emissora no YouTube (Band RN). https://t.co/bUpQLGY60T"
1314921119737147392,2020-10-10 13:29:59,99,11,"Então é isso, pessoal. Seguimos trabalhando. 

Quero aqui aproveitar para desejar aos potiguares um feriadão de muita paz e tranquilidade, seguindo sempre as medidas e protocolos de biossegurança recomendados para prevenção ao novo coronavírus. #JuntosContraCovid"
1314694797165301761,2020-10-09 22:30:40,184,42,"👩🏽‍🏫✅📺 Governo do RN autoriza aulas na TV!

Por meio da @seecRN, a gestão estadual oficializa contrato com a Band RN para a transmissão de aulas na TV aberta, que terá início no dia 13 de outubro, como forma de democratizar o ensino remoto no contexto da pandemia. https://t.co/aGXBvRDcAa"
1313935898220924930,2020-10-07 20:15:04,5,1,"Os contratos somados representam um investimento de R$ 266,3 mil. 

Nós estamos aqui fazendo o nosso dever. A pandemia provocou uma dificuldade para os negócios. Foi nesse contexto que o Governo tomou a decisão de colocar a AGN para trabalhar em prol de quem precisa.

+ https://t.co/ukgLToQ78a"
1313173275904823296,2020-10-05 17:44:41,12,2,"Em 1 ano, o Governo do RN adquiriu de agricultores e agricultoras familiares locais o montante de R$ 7,9 milhões em produtos do campo para abastecer escolas estaduais e para compor as cestas básicas distribuídas durante a pandemia. 

+ https://t.co/vMweISf7cS"
1312508590649872384,2020-10-03 21:43:27,33,8,"A estatística é resultado de uma maior integração entre as forças de segurança, somada aos esforços da gestão para promover melhorias no setor e a todo o empenho e dedicação dos agentes de segurança, mesmo durante a pandemia.

+"
1311761121225908229,2020-10-01 20:13:17,15,0,"... vulnerabilidade social agravada pela pandemia do novo coronavírus (Covid-19).

📈A meta é entregar, até dezembro, 60 mil cestas básicas.

#EquipeFB
Fotos: Sandro Menezes https://t.co/jIibsViZUt"
