id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1314284092414980097,2020-10-08 19:18:40,3,1,"Essa é mais uma medida de auxílio ao setor cultural, tão afetado pela pandemia do novo Coronavírus. Para conferir os editais, acesse: https://t.co/tBfyxxUGg7"
1311411217215356933,2020-09-30 21:02:53,13,2,"Publicamos no Diário Oficial do Estado o decreto que regulamenta a aplicação da Lei Aldir Blanc na Paraíba. A lei, de autoria do Governo Federal, criou o auxílio emergencial para trabalhadores da cultura, afetados pela pandemia da Covid-19."
1308142947678945281,2020-09-21 20:35:57,7,0,"A pandemia ainda não passou, mas hoje a Paraíba já consegue retomar obras e realizações importantes para toda a população. Isso é fundamental para esse momento de recuperação da nosso economia. #FiqueEmCasaPB #SeSairUseMáscara"
1305976142671810560,2020-09-15 21:05:50,17,0,"Até agora, o site registra 3.461 medidas de enfrentamento à pandemia em todo país. A Paraíba ocupa a liderança nacional com 427 ações. Esse é um indicador importante, que evidencia a atuação do @govparaiba no combate ao novo Coronavírus. #FiqueEmCasaPB #SeSairUseMáscara"
1303446512781996032,2020-09-08 21:34:00,5,1,"São Domingos, São Francisco, São João do Rio do Peixe, São José da Lagoa Tapada, Sousa e Triunfo. Essa é mais uma medida de socorro aos empreendedores durante a pandemia. #FiqueEmCasaPB #SeSairUseMáscara"
1301598292522995714,2020-09-03 19:09:50,14,2,"O #TBT de hoje é para relembrar o desfile de 7 de Setembro do ano passado. Como ainda estamos enfrentando a pandemia do novo Coronavírus, não será possível realizar o desfile como acontece tradicionalmente, (+) https://t.co/z4IngqmG3E"
1298373952570621957,2020-08-25 21:37:27,0,0,"Nesse momento de pandemia, o Lacen deu as respostas que nós esperávamos, toda a equipe se envolveu e isso gerou o resultado que hoje a Paraíba comemora. O novo espaço também vai possibilitar a expansão dos serviços prestados à população. https://t.co/2qIyZrwP8w"
1296864879882776587,2020-08-21 17:40:56,18,2,"A Paraíba registrou uma queda de 33% nos óbitos por Covid-19 nos últimos 14 dias, segundo dados da @saudepbgov. Uma boa notícia que mostra que todo o trabalho feito desde o início da pandemia está valendo à pena. #FiqueEmCasaPB #SeSairUseMáscara https://t.co/LhVMWA2WRX"
1296159774422315008,2020-08-19 18:59:06,28,2,"Visitei várias obras hoje em João Pessoa, que estão sendo retomadas, seguindo todas recomendações de segurança e distanciamento social. A pandemia ainda não acabou, mas a economia precisa voltar a funcionar para gerar emprego e renda. https://t.co/daQCThafJ4"
1295474758314860545,2020-08-17 21:37:05,14,8,"A pandemia impossibilitou a realização das audiências presenciais do ODE 2020, mas não impediu a população de participar e dar sua opinião na democracia participativa. Confira um balanço do primeiro Orçamento Democrático 100% digital da história. #FiqueEmCasaPB #SeSairUseMáscara https://t.co/yZoApjDQjU"
