id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1306612780691329026,2020-09-17 15:15:37,86,6,"Santa Catarina é o segundo Estado mais competitivo do Brasil, segundo ranking divulgado hoje pelo @CLP_Brasil. É um mérito coletivo de todos os catarinenses. A pandemia mudou nossas vidas, mas não afetou o que somos em essência."
1304915268221706240,2020-09-12 22:50:18,40,4,"Tenho certeza que essas pessoas não são maioria, por isso prefiro me concentrar no que hoje é mais importante para os catarinenses: trabalhar para que Santa Catarina supere a pandemia com o máximo possível de vidas preservadas e o menor custo econômico. @raz_bra #tvbv"
1302926040625491969,2020-09-07 11:05:49,113,4,"Neste 7/09 a celebração de um ato tão importante na nossa história, a Independência, será diferente do habitual por causa da pandemia. Mas o que vale é o sentimento de amor e orgulho da nossa pátria. Juntos podemos fazer dela o melhor lugar para se viver. Pátria amada, Brasil! 🇧🇷 https://t.co/rDxeSqQyQk"
1302261121513127936,2020-09-05 15:03:40,120,5,A Justiça atendeu ao nosso pedido por meio do @Proconsc e da @PGE_SC e o aumento na conta da luz em SC está suspenso durante o estado de calamidade pública por conta da pandemia de Covid-19. É uma conquista muito importante! Este é um momento sensível e exige adequações.
1301927757828546560,2020-09-04 16:59:00,73,0,"Estamos investindo R$ 2,2 milhões em 16 projetos de pesquisa e inovação que vão nos ajudar no combate ao coronavírus em SC. O incentivo é para empresas catarinenses e pesquisadores em universidades. Unidos, de forma eficiente e com boas parcerias, estamos cuidando de todos."
1293990533451452418,2020-08-13 19:19:19,36,1,"A saúde é prioridade e já abrimos mais leitos do que o realizado nos últimos 20 anos. Neste momento, a Grande Florianópolis está com a menor taxa de ocupação das UTIs, cerca de 70%. Cuide-se e seja responsável. Seguimos unidos para vencer essa pandemia e cuidar de SC."
1293567712669704193,2020-08-12 15:19:10,43,1,"Temos um povo trabalhador, uma economia diversificada e investimos em inovação. Por isso, seguimos em desenvolvimento mesmo diante da pandemia. A nossa indústria teve um crescimento pelo segundo mês consecutivo e acima da média nacional. Em maio, já havia subido 6,1%. https://t.co/4lntIFoYKF"
1292988059311628290,2020-08-11 00:55:50,95,7,"Dia importante para Lages e a Serra Catarinense. Ativada a nova ala do Hospital Tereza Ramos, um reforço para o enfrentamento à pandemia e para a qualificação do atendimento aos moradores da região agora e no futuro. Assim começamos uma semana de muito trabalho pela frente. https://t.co/G5pIEhL0Rw"
1291417707800408065,2020-08-06 16:55:49,99,6,Reduzimos o número de regiões classificadas em situação gravíssima. Isso mostra que as novas medidas e a contribuição dos catarinenses estão gerando resultados. Mas não significa que a pandemia está vencida e nem que o pior já passou. Ainda teremos dias desafiadores à frente. https://t.co/UU1htUOS49
1290963915778785280,2020-08-05 10:52:37,43,1,"Este fator é muito importante para ficarmos menos vulneráveis a qualquer tipo de doença. Quando o assunto é se proteger, este momento de pandemia exige atenção ainda maior."
1289668724979453953,2020-08-01 21:05:59,17,2,"Só no mês de maio nós disponibilizamos mais de R$ 6 milhões. Esse empréstimo é fundamental para garantir a manutenção dos pequenos negócios em momentos difíceis, como o desta pandemia do coronavírus. É MEI e precisa de apoio com juros zero? Saiba mais: https://t.co/pvcXmQMj7P https://t.co/zcIr0Zk30p"
