id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1316409569657139203,2020-10-14 16:04:33,100,6,"Recebi agora, do presidente da @azulinhasaereas, a informação de q a cia retomará, a partir de 8/12, os voos ligando PoA a Pelotas e Santa Maria. É uma importante notícia, q aponta p/ a retomada da economia, depois de 7 meses de paralisação dos voos internos por conta da pandemia https://t.co/1F2FVcvoHj"
1316008062126227459,2020-10-13 13:29:06,45,1,"Embora tenhamos de considerar a influência do distanciamento social pela #Covid19, os resultados foram alcançados justamente no mês de maior abertura, em que praticamente todas as atividades que estiveram restritas no início da pandemia já haviam sido retomadas."
1313195622313402368,2020-10-05 19:13:29,49,1,"A iniciativa é uma expansão do projeto Exporta-RS, da Sedetur, que, desde 2016, já auxiliou mais de 400 empresas gaúchas na prospecção de novos mercados internacionais. É uma ação importante para o setor empreendedor, especialmente neste momento de pandemia que enfrentamos."
1313135372898127880,2020-10-05 15:14:04,57,0,"Além disso, ajuda na atração de outros investimentos para o RS, porque as empresas procuram lugar com garantia de qualidade de vida. Por fim, também serve de inspiração para outros empresários, porque superaram as dificuldades e não pararam mesmo com a pandemia. https://t.co/HppS1z3NGg"
1313135365906214912,2020-10-05 15:14:02,133,3,"Participei nesta manhã da inauguração do Hospital Humaniza, na Capital. Investimento privado de R$ 250 milhões que, além de ampliar a nossa rede de saúde, especialmente importante neste momento de pandemia de #Covid19, também é um empreendimento que gera emprego e renda. https://t.co/iZpRGImfb7"
1312831913485312003,2020-10-04 19:08:14,17,0,"São essas façanhas do povo gaúcho, capaz de construir uma feira inovadora em meio a uma pandemia, que queremos que sirvam de exemplo. Confirmando a importância da nossa feira no contexto nacional, recebemos a ministra @TerezaCrisMS e o vice-presidente @GeneralMourao."
1312831912126361608,2020-10-04 19:08:13,17,0,"Devido às restrições impostas pelo coronavírus, tivemos de inovar. Negociações e leilões foram virtuais, e promovemos um drive-thru da agricultura familiar. Foi a maneira que encontramos de manter nossa tradição, garantindo segurança aos expositores e aos frequentadores."
1309606765768699905,2020-09-25 21:32:38,418,29,"Divulgamos há pouco o mapa preliminar da 21ª semana do Distanciamento Controlado. Pela primeira vez em pouco mais de três meses, os indicadores de propagação do #coronavírus e capacidade de atendimento apontaram todas as 21 regiões com risco médio, ou seja, bandeira laranja. https://t.co/FZu6S1RQoH"
1309485413971701760,2020-09-25 13:30:26,166,12,"Matéria do jornal ZH mostra levantamento apontando q o RS tem a menor alta de mortalidade do país desde a chegada do #coronavírus. Especialistas indicam, entre os motivos, a qualidade da rede de atendimento,o q inclui a oferta de leitos e a qualificação dos profissionais da saúde https://t.co/0G1pzcMlo9"
1309215691720069121,2020-09-24 19:38:39,19,0,"Cabe aqui um agradecimento especial aos 123 especialistas, de 40 instituições, 13 universidades e faculdades e 25 órgãos públicos que formam o Comitê de Dados, que nos abastecem com informações fundamentais para as políticas públicas e medidas de enfrentamento à pandemia."
1309215687391563778,2020-09-24 19:38:38,18,2,"Para manter a transparência das nossas ações, desde março realizamos 84 lives sobre o #coronavírus, com mais de 60 horas de transmissão e 17 milhões de visualizações, prestando contas à sociedade e respondendo aos questionamentos da imprensa. https://t.co/9UHGwxIAVr"
1309215685277515776,2020-09-24 19:38:38,105,4,"Desde os primeiros casos de #coronavírus no RS, em março, iniciamos lives diárias, que depois passaram a ser 2x por semana e, hoje, encerramos as transmissões regulares semanais. A partir de agora, as lives sobre #Covid19 serão feitas somente em situações extraordinárias. https://t.co/gSWdvNlb5Z"
1309210106425417737,2020-09-24 19:16:27,29,2,"Agradecemos aos deputados e senadores gaúchos, parceiros importantes no aporte de recursos para nossos hospitais, assim como aos deputados estaduais, que também tiveram papel relevante aportando recursos e direcionando esforços para o combate ao #coronavírus."
1305602918981292032,2020-09-14 20:22:47,110,12,"Chegamos à 19ª semana do modelo de Distanciamento Controlado com 5 regiões em bandeira vermelha: Erechim, Passo Fundo, Santa Maria, Porto Alegre e Palmeira das Missões. O #coronavírus segue demandando nossos cuidados e nossos esforços de prevenção. https://t.co/37pBzvHDPB"
1305501649989926913,2020-09-14 13:40:23,56,3,"Neste ano, celebraremos a Semana Farroupilha de forma virtual, em função da pandemia. Não deixaremos, no entanto, de relembrar e exaltar os feitos dos nossos antepassados e de valorizar a cultura e as tradições gaúchas."
1304441544745857033,2020-09-11 15:27:54,34,2,"É o legítimo programa do ganha-ganha, porque beneficia quem produz e quem precisa de alimento, além de fazer girar a economia em tempos tão difíceis como estamos vivendo na pandemia."
1304143695881609221,2020-09-10 19:44:21,291,13,"Alcançamos, nesta quinta-feira, 99% de aumento no número de leitos de UTI SUS Adulto no Rio Grande do Sul. Antes da pandemia de #coronavírus eram 933. Agora, são 1.856 leitos de UTI. Ação importante que foi decisiva para que a taxa de ocupação se mantivesse sempre abaixo dos 80% https://t.co/ZK6nVwb3D9"
1304136341190512641,2020-09-10 19:15:08,15,3,"A proporção de pessoas com anticorpos para a #Covid19 no RS é de 1,38%, o que corresponde a um total de 156.753 pessoas que têm ou já tiveram a doença na população gaúcha. Isso equivale a um caso real de infecção por #coronavírus a cada 72 habitantes do RS. https://t.co/exCaakVqeR"
1304136339382824961,2020-09-10 19:15:07,72,8,"Divulgamos hoje os resultados da oitava e última etapa do Epicovid-RS, pesquisa do @governo_rs, coordenada pela @UFPel, que traça a prevalência do #coronavírus no Rio Grande do Sul. Estamos em tratativas para renovar a pesquisa por mais duas fases. https://t.co/WnyKsngK0C"
1301246826713153537,2020-09-02 19:53:14,37,2,"O curso de formação dos novos delegados foi especialmente desafiador a todos os candidatos por se dar em meio à pandemia de #coronavírus. Mas foi também por isso que insistimos na formação desta turma. Enquanto enfrentamos esse adversário comum, a guerra ao crime não dá trégua."
1301182292245843968,2020-09-02 15:36:47,104,7,Agradecemos à @AMRIGS pela doação de equipamentos de proteção individual. Recebemos 4 mil máscaras e 8 mil luvas descartáveis. Este importante gesto de solidariedade nos mostra que não estamos sozinhos no combate ao #coronavírus. https://t.co/ntBNkTXbyX
1300543716407627777,2020-08-31 21:19:19,98,3,"Lançamos hoje a primeira edição digital da Expointer. Se por conta da pandemia não poderemos ir ao Parque de Exposições Assis Brasil, em Esteio, no ano em que completa 50 anos, o Parque vai ir até a casa de cada um. https://t.co/zv4VnMJy4m"
1299389443258843136,2020-08-28 16:52:39,44,0,"É o único presídio no país entregue durante a pandemia e o 2º concluído na nossa gestão. Importante destacar que as tratativas começaram no governo anterior. Com um olhar de evolução, demos continuidade e buscamos velocidade no processo de viabilizar outras unidades no RS."
1299389440029265920,2020-08-28 16:52:38,285,14,"Inauguramos hoje a Penitenciária Estadual de Sapucaia do Sul. Uma entrega dois em um: a unidade soma 600 vagas no regime fechado, mas servirá, durante a pandemia, como centro regional de triagem e isolamento para os ingressantes no sistema prisional gaúcho. https://t.co/CDOpXgPWDH"
1299125890970984448,2020-08-27 23:25:23,75,3,"Disponibilizaremos uma forma alternativa de tributação ao segmento de bares, restaurantes e estabelecimentos similares do RS como estímulo a um dos setores mais afetados pela pandemia. A decisão foi anunciada nesta quinta-feira. https://t.co/NwH4YznPyP"
1299078810198069251,2020-08-27 20:18:18,47,0,"Recursos que poderão ser usados em diferentes setores, como inovação, eficiência energética/energias renováveis e agronegócio, e que serão especialmente relevantes no pós-pandemia, pois são um suporte a quem quer investir, retomar ou ampliar seus negócios."
1298332350338793474,2020-08-25 18:52:08,83,5,Prorrogamos por mais 30 dias a isenção da tarifa social aos clientes de baixa renda da @Corsan_Oficial. A medida abrange inclusive as faturas da competência de setembro deste ano. Já são seis meses desta iniciativa durante a pandemia.
1296837853817778181,2020-08-21 15:53:33,101,2,Iniciamos hoje a 26ª Semana Estadual da Pessoa com Deficiência. A pandemia torna está edição especialmente relevante para colocarmos a pauta da acessibilidade e da inclusão em evidência e provocarmos a reflexão sobre o tema em toda a sociedade gaúcha. https://t.co/Rgoko4giJO
1294369156452818948,2020-08-14 20:23:49,97,8,"Mesmo com a pandemia, o Governo do RS segue em ação em várias frentes. Entre elas estão diversas obras coordenadas pela Secretaria dos @transportes_rs, liderada pelo sec @juvircostella. A rodovia que liga o Vale do Paranhana à Serra Gaúcha, a ERS-020, está ganhando cara nova. https://t.co/IYzmn1OabP"
1294002467588407297,2020-08-13 20:06:44,121,4,Encaminhamos hoje à Assembleia Legislativa um projeto de lei que minimiza o impacto da suspensão das aulas presenciais aos prestadores de serviço de transporte escolar durante a pandemia de #coronavírus.
1293983356015783944,2020-08-13 18:50:47,42,2,"Até agora, 25 hospitais gaúchos já estão sendo atendidos ou estão com termos de compromisso encaminhados, e outros 32 estão sendo contatados. É mais uma importante ação para reforçar o enfrentamento à pandemia de #coronavírus e de preservação da vida."
1293269892053921797,2020-08-11 19:35:44,799,83,"O Palácio do Planalto emitiu ""nota"" com relação de óbitos e casos nos estados com estranho recorte de dados, colocando nomes de governadores para tentar gerar constrangimento. Eis o dado real de taxa de incidência de acordo com a população nos estados no periodo da pandemia. https://t.co/x2ZwciB68B"
1291445302822666242,2020-08-06 18:45:28,56,5,"Não vamos apenas ampliar a testagem no RS, mas intensificar o rastreamento. Com uso da tecnologia, faremos busca ativa dos contactantes e, com inteligência e análise de dados, vamos poder identificar dinâmicas de transmissão do #coronavírus e entender como a pandemia evolui."
1291445299945275392,2020-08-06 18:45:28,137,5,"Em mais um passo para ampliarmos a testagem no RS, uma das estratégias consideradas mais eficazes para combate ao #coronavirus, assinamos um termo de cooperação com o @Institutodor para organizar postos de testagem para #Covid19 em todo o Estado e usar o aplicativo @dadosdobem."
1290728145667133440,2020-08-04 19:15:45,254,21,"A ampliação de leitos de UTI SUS no RS representa o dobro do percentual registrado no Brasil desde o começo da pandemia de #coronavírus. No Estado, eram 933 em março. Agora, já são quase 1.800 leitos de UTI Adulto SUS habilitados ou em processo de habilitação em todas as regiões. https://t.co/QPnUNHW6JI"
1290394728769429505,2020-08-03 21:10:52,95,4,"Vale lembrar que, em função da pandemia, a legislação permite a dispensa de licitação nas compras emergências, mas optamos pelos certames, com ampla transparência e economia para os cofres do Estado."
1290393951971803136,2020-08-03 21:07:47,106,6,"Nesse sentido, destacamos um dado divulgado hoje pela Folha de S.Paulo que mostra que o RS tem a menor queda na arrecadação durante a pandemia entre os estados do Sul e Sudeste. Perdemos R$ 700 milhões, o equivalente a 5,7%, em comparação com o 1º semestre do ano passado. https://t.co/PEd2HME7sk"
1290393950495408128,2020-08-03 21:07:46,86,5,"Entre os desafios de gerenciar a convivência com a pandemia está a conciliação entre preservação da vida e o funcionamento da economia. O modelo de Distanciamento Controlado, de maneira ponderada, tem ajudado o RS a manter a menor restrição possível à atividade econômica."
1288917024899563527,2020-07-30 19:19:00,118,4,"Vale destacar que as regiões Carbonífera e da Costa Doce não possuíam leitos de UTI. Em menos de 2 semanas, foram implantados 40 leitos – incluindo 10 em Charqueadas e 10 em Guaíba. Será um legado deixado para a pós-pandemia de algo que há muito tempo era requisitado pela região."
1288917023528026112,2020-07-30 19:18:59,64,4,"Nesta semana, foram incluídos nessa lista os hospitais de São Jerônimo e de Camaquã. Cada um abriu 10 leitos exclusivos para #coronavírus. Até que o @minsaude faça a habilitação dos novos leitos, o governo do Estado custeará as diárias."
1288917020638154753,2020-07-30 19:18:59,476,20,"Nosso governo trabalhou muito, desde o início da pandemia, p/ ampliar a rede hospitalar e garantir q ninguém fique sem tratamento. A meta era ampliar em 60% o total de leitos de UTI, e alcançaremos, nos próximos dias, 90,6% com as habilitações que estão em andamento."
1288544258929168385,2020-07-29 18:37:45,80,8,"Dos 4,5 mil testes aplicados nesta etapa, 43 tiveram resultado positivo para coronavírus: 18 em POA, 9 em Canoas, 7 em Passo Fundo, 2 em Caxias, Sta Cruz do Sul e Sta Maria, e 1 caso em Ijuí, Uruguaiana e Pelotas. Na etapa anterior, foram 21 resultados positivos. https://t.co/V3CCUWYfz4"
1288544257117245440,2020-07-29 18:37:45,225,41,"A 6ª etapa do estudo Epicovid19-RS, encomendado pelo @governo_rs e coordenado pela @UFPel, mostra que a prevalência do #coronavírus no Estado dobrou no intervalo de um mês. Os números apontam que há um infectado a cada 104 hab e que + de 108 mil pessoas têm anticorpos p/ a doença https://t.co/2iGUQZONMB"
1287857349680652289,2020-07-27 21:08:14,150,11,"Está muito claro que o distanciamento tem ajudado a manter sob controle a capacidade de oferta de leitos diante da demanda que temos para o #coronavírus e para outras doenças respiratórias. Quanto menor for a circulação de pessoas, mais reduziremos a circulação do vírus."
1286738808336265216,2020-07-24 19:03:33,86,6,"Desde o começo da pandemia até agora, o Estado aumentou em quase 75% a estrutura de leitos da rede hospitalar. Ainda pretendemos chegar a um incremento de mais de 100%. Estamos dobrando a estrutura das UTIs gaúchas - a maior ampliação da história do RS."
1286738805291126785,2020-07-24 19:03:32,259,20,"Abrimos hoje mais 10 leitos de UTI, desta vez no Hospital Vila Nova, de Charqueadas. Esses 10 leitos serão destinados prioritariamente à população privada de liberdade e, durante a pandemia, exclusivamente para casos de #Covid19. https://t.co/OieXKvaKfM"
1286384015696703490,2020-07-23 19:33:43,93,8,"Sete hospitais gaúchos foram contemplados na doação anunciada hoje pela @rge_cpflenergia, de R$ 1,75 milhão, traduzidos em 18 mil testes, 89 mil máscaras e 4,5 mil litros de álcool em gel. Reforço importante no enfrentamento à pandemia. https://t.co/aEm4PvxEdv"
1286374094548750339,2020-07-23 18:54:18,64,6,"Na segunda etapa, em agosto e que alcançará todo o Estado, mais dois grupos: os casos sintomáticos e os casos suspeitos por serem contactantes próximos de caso confirmado de #Covid19 por meio do uso do aplicativo Dados do Bem. Baixe o app e ajude a controlar o #coronavírus no RS!"
1285968072143241217,2020-07-22 16:00:55,118,10,Participei do ato simbólico de doação pelo @Banrisul de um equipamento extrator automático de RNA para a @ufrgsnoticias e insumos que o aparelho utiliza para a realização de 8 mil testes para #coronavírus. https://t.co/T9e8TEzKo3
1285959028284313601,2020-07-22 15:24:58,86,5,"Após a pandemia, a nova estrutura funcionará como maternidade e centro cirúrgico. É importante lembrar que desde o início da pandemia ampliamos em 75% o número de leitos UTI SUS Adulto no RS (de 933 para 1.630). Esse incremento deverá chegar a 105% nas próximas semanas."
1285930906289688582,2020-07-22 13:33:14,73,3,"É um reforço importante, que vai permitir a recuperação de operadores da segurança, ativos e da reserva, e suas famílias, especialmente neste momento da #Covid19 e futuramente para outras enfermidades, porque os leitos ficarão como legado pós-pandemia."
1285628767860293633,2020-07-21 17:32:38,510,21,Mais uma ótima notícia para o RS no enfrentamento ao #coronavírus: @minsaude enviará nos próximos dias um equipamento extrator que vai ampliar em mais de 2x a capacidade testagem RT-PCR do Lacen. Reforço importante para a nossa meta de ampliar de 1 mil para 4 mil testes diários.
1284210252708229120,2020-07-17 19:35:58,173,9,"Sancionei nesta tarde, c/ a presença virtual dos chefes de Poderes e órgãos autônomos, a LDO 2021.Renovo meu agradecimento pela cooperação p/ acordo histórico firmado neste momento de pandemia, q agravou nossas finanças. A economia até o final de 2021 pode chegar a R$ 410 milhões https://t.co/Ry5IbVjmIM"
1284169077037162498,2020-07-17 16:52:21,172,9,"Recebemos hoje a doação de 60 mil máscaras que serão destinadas aos nossos agentes da segurança pública. Agradeço ao Sindicato da Indústria de Produtos Suínos do Rio Grande do Sul pelo importante gesto, que nos mostra que não estamos sozinhos no combate ao #coronavírus. https://t.co/FeH0BeNmiQ"
1283829903226527745,2020-07-16 18:24:35,67,3,"A #ReformaTributariaRS é uma oportunidade para melhorar o ambiente de negócios e uma necessidade para evitar o agravamento do desequilíbrio fiscal. Com os impactos da pandemia, mais do que nunca é necessária uma reforma que promova justiça tributária e desenvolvimento econômico."
1283829895081209869,2020-07-16 18:24:34,268,13,"Apresentamos hoje a deputados, entidades e imprensa a nossa #ReformaTributáriaRS, que completa o ciclo de reformas iniciado em 2019. Esse trabalho foi concluído em março e adiado devido à pandemia, mas não podemos mais esperar para promover mudanças no sistema fiscal."
1283504591334760449,2020-07-15 20:51:55,119,5,"O acordo foi um gesto de enorme solidariedade dos demais Poderes diante da realidade que se impõe em função da pandemia. Mostramos, todos, que é possível haver entendimento e trabalho conjunto, em uma mesma direção, para atender os anseios da sociedade."
1283445382224240640,2020-07-15 16:56:39,47,0,"Ações solidárias como essa nos mostram que não governamos sozinhos. Esse projeto significará melhoria de qualidade de vida para pessoas que realmente precisam. Além de promover cuidados nesse tempo de pandemia e frio, são projetos para resgate de dignidade, autonomia e reinserção"
1283142015488753669,2020-07-14 20:51:10,1105,71,"Ultrapassamos hoje a triste marca de mil mortes por #coronavírus no RS. Sabemos que para quem perdeu uma dessas vidas, seja familiar, amigo ou colega, é muito mais que uma estatística. Para essas pessoas, a perda é de 100%."
1283124172043026441,2020-07-14 19:40:16,69,3,"É só o começo. Vamos detalhar ainda as propostas e abriremos oportunidade de construção conjunta, para então encaminhar à Assembleia. Acreditamos no potencial dessas medidas para a retomada pós-pandemia e para tornar o RS mais competitivo e desenvolvido social e economicamente."
1283124167001419776,2020-07-14 19:40:15,36,0,"A redução de alíquotas de ICMS no final do ano demandará medidas compensatórias, tendo em vista a fragilidade fiscal do Estado e das prefeituras. Com os impactos da pandemia, mais do que nunca é necessária uma reforma que promova justiça tributária e desenvolvimento econômico."
1283111040205684736,2020-07-14 18:48:05,35,2,"As inscrições já estão abertas para três cursos, todos com certificação. Em virtude da pandemia, lançamos inicialmente a versão online da escola, que será um espaço físico completo no futuro. O acesso está disponível neste link https://t.co/zwNLSD8tAV"
1282800560585007106,2020-07-13 22:14:21,237,4,"Trata-se do momento mais restritivo até agora, mas o nosso modelo permite um equilíbrio entre proteção à vida e a preservação dos empregos da população. Os números comprovam que isso tem ocorrido, o que nos dá segurança para seguir com o enfrentamento à pandemia."
1282795128675897345,2020-07-13 21:52:46,106,5,"Também recebemos um novo reforço no combate ao #coronavírus: mais 103 respiradores enviados pelo @minsaude, que serão destinados a 25 instituições de saúde. São 50 respiradores beira-leito e 53 de transporte, que se somam aos 270 já enviados em junho."
1282795125505249281,2020-07-13 21:52:45,276,13,"Recebemos a confirmação da habilitação, por parte do @minsaude, de mais 73 novos leitos de UTI SUS. Com esse incremento, o Estado chega a 1.630 leitos, um aumento de 75% na oferta de leitos de UTI SUS desde o começo da pandemia. https://t.co/83EQOq0qFV"
1281614553927876608,2020-07-10 15:41:35,71,2,"Não é um cenário fácil. Além de uma crise fiscal prévia, enfrentamos um período de estiagem, de pandemia e agora eventos climáticos, que agravam nossa situação finaceira. Isso reforça nossa necessidade de planejamento, sempre fundamental, mas crucial em períodos de crise."
1281361871866597378,2020-07-09 22:57:31,152,9,"Neste 9 de julho celebramos os 50 anos da @defesacivildors. Em tempos de pandemia, estiagem, fortes chuvas ou frio intenso, a Defesa Civil está sempre presente, em várias frentes. Meu agradecimento a tds os servidores e aos q fizeram parte dessa história cinquentenária! Parabéns! https://t.co/MgqjCcCWMd"
1281295120248250374,2020-07-09 18:32:16,34,1,"A Substituição Tributária é uma das grandes demandas dos setores econômicos e a renovação é especialmente importante neste momento da pandemia, para dar tranquilidade aos empreendedores e facilitar a questão tributária."
1281265697461604353,2020-07-09 16:35:21,81,3,"Toda a população foi e está sendo impactada pela pandemia, e iniciativas como essa significam um apoio relevante da própria sociedade para diminuir esse impacto. A Resolve Sim oferecerá conteúdos e exercícios de qualidade, além de simulados, de forma totalmente gratuita."
1281265696064917504,2020-07-09 16:35:21,51,3,"Agradeço a parceria do apresentador @LucianoHuck, que fez a ponte entre o governo do Estado, via @seduc_rs, a Eleva Educação e a rede Estácio. O sistema será um importante reforço na educação, especialmente neste momento de pandemia."
1280903993502433280,2020-07-08 16:38:04,100,4,"A #Covid19 não reconhece fronteiras estabelecidas em papel. Temos a responsabilidade coletiva de enfrentarmos e vencermos a situação, melhorando a eficácia do controle do #coronavírus na fronteira."
1280903990360899585,2020-07-08 16:38:04,172,10,"Em reunião da Comissão do Mercosul e Assuntos Internacionais da @AssembleiaRS sobre o acordo sanitário entre o Brasil e o Uruguai, reforcei a disposição do Estado em adotar ações conjuntas de enfrentamento ao #coronavírus. https://t.co/cmEdCx5EQK"
1280591499596611584,2020-07-07 19:56:20,660,36,"Recebemos hoje as doações de 5 toneladas de produtos de higiene e de limpeza e mais de 200 mil máscaras que vão ajudar no enfrentamento ao #coronavírus. Muito obrigado ao Sindiquim/RS, à Braskem e à Fitesa por esse importante gesto de solidariedade! https://t.co/9vHuAW6317"
1280250046072729601,2020-07-06 21:19:31,239,16,"Nossa maior preocupação, atualmente, é com a Região Metropolitana, na qual o aumento de casos de #coronavírus e de internações em UTI é constante e persistente. Pedimos a todos que, se puderem, #FiquememCasa e sigam os protocolos recomendados. Precisamos de todos!"
1279169978311335936,2020-07-03 21:47:43,256,12,"Mesmo diante da pandemia de #coronavírus, seguimos dando continuidade a investimentos importantes à população. Hoje, a @Corsan_oficial entregou obras de infraestrutura no valor de R$ 15,4 milhões nas cidades de Santa Rosa, Ijuí e Santo Ângelo, que beneficiarão 9,4 mil pessoas https://t.co/hCXBHaP1GA"
1278774896835903490,2020-07-02 19:37:48,229,16,"Sempre digo que é a sociedade, e não o governo sozinho, que vencerá essa crise e que superará esse momento de pandemia. Agradecemos ao Todos pela Saúde pela importante parceria!"
1278774891504971776,2020-07-02 19:37:47,606,38,"A partir deste mês, teremos um importante reforço no combate ao #coronavírus no Estado. Com apoio do programa Todos pela Saúde, o RS vai ter 3 mil novos testes RT-PCR diários, além dos que já são feitos pelo Lacen."
1278765882588778497,2020-07-02 19:01:59,44,3,"outros R$ 15 milhões de emendas parlamentares federais individuais e de bancada, e R$ 2,4 milhões de emendas parlamentares estaduais. Agradecemos novamente aos deputados e senadores gaúchos, que estão mobilizados conosco no enfrentamento à pandemia."
1278653904545333248,2020-07-02 11:37:01,3534,582,"Gaúchas e gaúchos, faço um novo chamamento a todos vocês. Estamos entrando no período que pode ser o mais duro do combate à pandemia no RS. Os próximos 15 dias serão cruciais. Se puder, #FiqueEmCasa!

https://t.co/RuQEg1WFsW"
1278403085086359553,2020-07-01 19:00:21,140,20,"O Epicovid19-RS também mostra um declínio, por parte da população, na adesão ao distanciamento social. Voltamos a chamar atenção para o fato de que estamos vivendo o momento mais delicado da pandemia até agora, e a colaboração de cada gaúcho e de cada gaúcha é fundamental. https://t.co/qX774fcwJD"
1277955102981132289,2020-06-30 13:20:14,605,24,"Agradeço, em nome de todos os gaúchos, à bancada federal gaúcha pelo repasse de R$ 43,3 milhões, via emendas extraordinárias, aos hospitais estaduais. O repasse contemplará 111 instituições de saúde. É um importante reforço no combate ao #coronavírus. https://t.co/loMorQOTZW"
1277720720223744000,2020-06-29 21:48:53,168,6,"Tem de haver uma análise de contexto, mas ao máximo respaldada pelos dados, pela ciência, pela informação. Assim estamos fazendo aqui no RS: adotando restrições que nos ajudam a controlar o contágio de #coronavírus em lugares onde se impõe verdadeiramente o risco."
1276271897387417603,2020-06-25 21:51:46,26,3,"Por meio deste termo, estamos manifestando publicamente que é seguro juridicamente e promissor o investimento que está sendo realizado no Cais Embarcadero e que vai sair do papel em breve, para que toda a comunidade possa desfrutar assim que a pandemia passar."
1276269345287606272,2020-06-25 21:41:38,146,10,"Desde março, estamos trabalhando para ampliar a estrutura da rede pública hospitalar no RS. Até o momento, o incremento já foi de quase 70% - de 933 leitos de UTI existentes antes da pandemia, passamos para quase 1,6 mil leitos habilitados e disponíveis para a população."
1276237133259378688,2020-06-25 19:33:38,1037,66,"Chegamos a 500 mortes por #coronavírus no RS. Expresso meu pesar e solidariedade aos familiares, amigos e colegas das pessoas que, infelizmente, perdemos. Todo nosso esforço e trabalho é p/ evitar essas perdas e, p/ conseguirmos isso, precisamos da colaboração de todos os gaúchos"
1276177673350451200,2020-06-25 15:37:22,227,13,"Em reunião virtual da @ahkrgs, falamos sobre o combate ao #coronavírus e a retomada econômica pós-pandemia. Neste momento bastante delicado, a boa relação entre os países é fundamental para a troca de experiências. https://t.co/jh3wNz37L8"
1274469706276225025,2020-06-20 22:30:31,541,41,"Reforço, portanto, o pedido à população gaúcha para que redobre os cuidados em relação à higiene, uso da máscara, uso de álcool gel e o hábito de lavar as mãos constantemente. Tudo isso nos ajuda a evitar a disseminação do #coronavírus e de outros vírus, como os da gripe."
1273688240265007105,2020-06-18 18:45:15,361,17,"Desde o início da pandemia de #coronavírus, adotamos como prioridade o aumento da capacidade de atendimento do sistema público de saúde. Nossa meta era ampliar em pelo menos 60% o número de leitos em UTI SUS habilitados, mas já alcançamos um aumento de 67%."
1271178413211090944,2020-06-11 20:32:05,596,39,"Com o objetivo de reduzir os riscos de esgotamento do sistema de saúde, garantir maior segurança aos gaúchos e aumentar a aderência às medidas de enfrentamento ao #coronavírus, anunciamos hoje alguns ajustes no modelo de Distanciamento Controlado."
1271166046779715585,2020-06-11 19:42:57,213,13,"Desde o começo da pandemia de #coronavírus, a @SGGE_RS vem mapeando o número de respiradores dos nossos hospitais que precisam de conserto. Com apoio de empresas e de organizações da iniciativa privada, foi possível recuperar 85 dos 245 equipamentos identificados."
1270459141119709185,2020-06-09 20:53:57,121,10,"O Estado alcança, agora, mais 624 leitos de UTI habilitados pelo SUS desde o início da pandemia de #coronavírus, o q representa um incremento de mais de 60% na rede pública de saúde. A habilitação desses 314 leitos é válida p/ o período de 90 dias, c/ possibilidade de prorrogação"
