id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1315723988203704325,2020-10-12 18:40:18,13,1,"Como sul-mato-grossense, fico muito feliz em ver o nosso estado de volta ao cenário das competições nacionais, mesmo em um ano tão difícil como esse que estamos passando com a pandemia do novo coronavírus."
1314180868584419329,2020-10-08 12:28:30,4,1,"Obedecendo todas as regras de biossegurança por conta da pandemia do novo coronavírus, estão liberadas no local atividades físicas como caminhada, corrida e bicicleta, e passeios para observação de pássaros e animais."
1313203579524722690,2020-10-05 19:45:06,17,3,"Decidimos não retomar as aulas presenciais na rede estadual de ensino em 2020. As atividades continuarão sendo desenvolvidas de forma remota, como vêm sendo realizadas desde o início da pandemia do novo coronavírus."
1308179994024214531,2020-09-21 23:03:10,2,2,"A quantia extra, enviada pelo Governo Federal por meio de lei complementar, se dá em razão da pandemia do novo coronavírus. #TodosContraOCoronavírus"
1306576592374824964,2020-09-17 12:51:49,25,2,"Infelizmente, fui diagnosticado com o novo coronavírus. Estou bem, apresentando apenas sintomas leves. Estou em casa, seguindo o protocolo médico. Durante o período de isolamento, continuarei trabalhando e cuidando de nosso estado."
1300498085936803845,2020-08-31 18:18:00,12,2,"Fechado por conta da pandemia do novo coronavírus, um dos cartões postais mais belos da nossa Capital está passando por reparos para melhor atender aos campo-grandenses, quando for seguro reabrir o local. https://t.co/OaJqMiG6wr"
1299339422358528006,2020-08-28 13:33:53,9,2,"Mesmo diante da pandemia do novo coronavírus, continuamos trabalhando para atrair novos empreendimentos e, com isso, ampliar as oportunidades para os sul-mato-grossenses. #empregosMS"
1298672102673911812,2020-08-26 17:22:12,7,2,"Estive ainda com o relator do Orçamento Geral da União para o próximo ano, o senador Marcio Bittar, com quem também tratei sobre a liberação de emendas para o período pós-pandemia."
1297599060245909508,2020-08-23 18:18:18,1,2,"E já podemos observar reflexos positivos. Somos o terceiro estado do país em geração positiva de emprego, no acumulado entre janeiro e julho de 2020, período em que atravessamos a pandemia da Covid-19."
1297598927341060096,2020-08-23 18:17:47,2,2,"A crise econômica provocada pela pandemia do novo coronavírus tem afetado a todos, sem distinção."
1296435334939652101,2020-08-20 13:14:05,3,1,"Desta forma, evitamos que os atuais bolsistas impactados pela pandemia do novo coronavírus fiquem sem receber o auxílio até o retorno das competições. 
 #esporteMS"
1293676317133754368,2020-08-12 22:30:44,6,0,"Iniciamos a distribuição de 80 mil cobertores para as famílias em situação de vulnerabilidade social dos 79 municípios de nosso estado. Também enviamos máscaras de proteção facial, importante item de prevenção contra o novo coronavírus. https://t.co/XMMqmyqww9"
1291794411622457355,2020-08-07 17:52:42,8,1,A nossa gestão é pautada pela transparência. E durante a pandemia do novo coronavírus não tem sido diferente.
1291495824376115200,2020-08-06 22:06:14,7,2,A iniciativa é mais uma ação para fortalecer o enfrentamento ao novo coronavírus em Mato Grosso do Sul. #TodosContraOCoronavírus
1290315750398451713,2020-08-03 15:57:02,5,1,"Esta articulação junto ao Ministério da Saúde tem sido importante durante a pandemia, onde temos encontrado o apoio necessário para fortalecer ainda mais as ações de enfrentamento ao vírus, protegendo assim a vida dos sul-mato-grossenses. #TodosContraOCoronavírus"
1290315538221080576,2020-08-03 15:56:11,9,1,"Mato Grosso do Sul receberá uma nova máquina de testagem para o coronavírus. Todo automatizado, o equipamento garantirá a autosuficiência no diagnóstico da doença, além de permitir ampliar ainda mais a capacidade de testes."
1288185648160047104,2020-07-28 18:52:46,21,2,"Devido ao crescente número de casos do novo coronavírus em nosso estado, decidimos, mais uma vez, prorrogar a suspensão das aulas presenciais na rede estadual de ensino até o dia 7 de setembro. O novo decreto foi publicado no Diário Oficial desta terça-feira."
1286669223490727936,2020-07-24 14:27:02,4,2,"Os números têm crescido rapidamente e o combate ao novo coronavírus depende de cada um de nós. Se puder, fique em casa, e siga todos os protocolos de prevenção. Só assim vamos conter o avanço do vírus em nosso estado. https://t.co/SLqojjmddk"
1285954769882951680,2020-07-22 15:08:03,8,2,"Instaladas há quase quatro meses, as barreiras sanitárias têm exercido um importante papel na luta contra o coronavírus em nosso estado. No período, foram mais de 2 milhões de pessoas abordadas nos 31 postos de controle e monitoramento sanitário. https://t.co/ExSKyr1FkI"
1285273030495801351,2020-07-20 17:59:04,6,2,"O trabalho em prol do desenvolvimento de nosso estado não para. Enquanto enfrentamos a pandemia do novo coronavírus, damos continuidade a obras de suma importância para a população sul-mato-grossense."
1284194225651953664,2020-07-17 18:32:17,1,2,"Esta é uma das ações de enfrentamento ao novo coronavírus, como forma de minimizar o impacto causado pela pandemia a aqueles que mais necessitam e proteger a população sul-mato-grossense."
1283843480486318080,2020-07-16 19:18:33,11,3,"O número de infectados pelo novo coronavírus cresceu muito nas últimas semanas, reflexo da queda do isolamento social em nosso estado."
1283455719858151425,2020-07-15 17:37:43,14,5,"Os alunos da rede estadual de ensino terão novidades no retorno às atividades pós-pandemia do novo coronavírus. Adquirimos 31 laboratórios escolares móveis. Destes, 30 serão distribuídos p/ as escolas de tempo integral de 13 municípios e um ficará disponível no centro de formação https://t.co/NQbE8DcqNN"
1283168876725968901,2020-07-14 22:37:54,9,2,"Seguimos trabalhando no enfrentamento ao novo coronavírus e, também, nas ações que visam o desenvolvimento de nosso estado."
1280260948176109568,2020-07-06 22:02:50,14,4,Recebemos do Sistema Famasul a doação de 10 mil máscaras de tecido. Os equipamentos serão distribuídos aos municípios de nosso estado para as ações de prevenção e combate ao novo coronavírus. https://t.co/JhWLqdU9hc
1278826724348899328,2020-07-02 23:03:45,6,2,"Mesmo em meio à pandemia do novo coronavírus, estamos mantendo investimentos importantes para o desenvolvimento de nosso estado."
1278060723562840064,2020-06-30 20:19:56,3,2,"Esta é mais uma medida que se soma a muitas outras já adotadas durante a pandemia do novo coronavírus, com o objetivo de preservar a vida dos sul-mato-grossenses e manter o estado na posição de menor número de casos e mortes no país. #TodosContraOCoronavírus"
1276517050194759680,2020-06-26 14:05:55,3,2,A ação se faz necessária diante do aumento do número de casos do novo coronavírus no estado.  #TodosContraOCoronavírus
1276278924599795714,2020-06-25 22:19:42,6,4,Recebemos mais uma importante doação do setor privado para as ações de enfrentamento ao coronavírus em Mato Grosso do Sul. https://t.co/lIcdhOQdP3
1274366415072563201,2020-06-20 15:40:04,16,3,"Desde o início da pandemia do novo coronavírus, implantamos uma série de ações e medidas com o objetivo de proteger a população sul-mato-grossense. https://t.co/YQfrojGDuF"
1273683740854833154,2020-06-18 18:27:22,11,4,"Atitudes simples, como o uso de máscara, o protocolo de higiene e o isolamento social, contribuem para evitar a contaminação, além de serem atos de amor e respeito ao próximo. Contamos com a colaboração de todos vocês nesta luta contra o coronavírus. #TodosContraOCoronavírus"
