id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1310598403764748288,2020-09-28 15:13:03,10,2,"Fechar o Hospital de Campanha significa que estamos no caminho certo, que tomamos as medidas preventivas necessárias e que podemos contar com a colaboração de todos. A pandemia não acabou, pessoal, por isso continuo pedindo: use máscara, higienize as mãos e, se cuidem!"
1310598400577077249,2020-09-28 15:13:03,5,0,"Depois de mais de 4 meses em funcionamento, criado para aumentar a oferta de leitos no tratamento da doença para o atendimento exclusivo de pessoas infectadas pelo novo coronavírus, a unidade que contava com 150 leitos clínicos, encerra suas atividades."
1293333322089803779,2020-08-11 23:47:47,37,4,"A redução dos números de óbitos e da ocupação de UTI significa que estamos no caminho certo, mas não que a pandemia foi embora, portanto, se cuidem!"
1292610837551755264,2020-08-09 23:56:53,574,32,"Pessoal, tenho uma boa notícia pra vocês: registramos a menor taxa de ocupação de UTI, desde o início da pandemia. 40% em Maceió e 50% no interior. Mas atenção! Não podemos relaxar. Continuem se cuidando. Usem máscaras!"
1290814321904291842,2020-08-05 00:58:11,127,9,"Em conversa com os comandos da PM e BM defini que não haverá para militares da ativa alterações nas regras de promoção de fim de carreira e nas licenças especiais. 

Promoverei, sim, nos próximos meses pós-pandemia, novos concursos públicos para ampliação de efetivos militares."
1289894122149404676,2020-08-02 12:01:38,126,5,"Pessoal, usem máscaras em toda e qualquer circunstância. Só ela pode nos proteger neste momento. Estamos juntos, trabalhando para combater o novo coronavírus, investindo no tratamento de pessoas que contraíram a doença, mas peço a colaboração de todos: se cuidem! https://t.co/UJVqWHluWj"
1289284480935399424,2020-07-31 19:39:08,38,1,"Pessoal, olha que legal! Em menos de um mês, Alagoas mais que dobrou o número de estabelecimentos com o selo do turismo responsável. A certificação do Ministério do Turismo em mais de 400 estabelecimentos do estado nos consolida e fortalece como destino pós-pandemia. https://t.co/Dw6yx4L7jA"
1288193340320743424,2020-07-28 19:23:20,77,1,"Me reuni, agora a tarde, com os prefeitos alagoanos para traçar e analisar em conjunto as novas diretrizes para Alagoas no enfrentamento à Covid-19. Às 18h darei uma coletiva de imprensa para
apresentar as informações e a evolução da pandemia no estado. https://t.co/znEJa7J1ft"
1288086436730810368,2020-07-28 12:18:32,199,12,"Hoje concederei coletiva de imprensa as 18h para apresentar a evolução da pandemia do novo coronavírus em Alagoas. 

Tivemos redução de mortes na capital e no interior. 

Seguiremos com responsabilidade na construção de caminho seguro para, juntos, vencermos o vírus."
1285731742968680454,2020-07-22 00:21:49,20,2,"Wellita venceu a Covid-19, mais uma das guerreiras que passou por essa doença e pode voltar a sorrir. Veja o depoimento dela, muito emocionante! Pessoal, mas não esqueçam: a luta contra o coronavírus é um papel de todos. Faça sua parte. #UseMascara https://t.co/zmI1Ns7g1N"
1283181127558144000,2020-07-14 23:26:35,76,7,"Pessoal, o trabalho baseado na ciência, a redução dos números de mortes e a redução na ocupação de leitos clínicos e de UTI respaldam o próximo passo de Alagoas durante a pandemia. Neste momento, alguns municípios mudam de fase. https://t.co/R7DdQLnei5"
