id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1315050222159044608,2020-10-10 22:03:00,5112,177,Meu pensamento hoje está voltado para os familiares e amigos de cada um dos 150 mil brasileiros que perderam a vida para o coronavírus.
1310653771467436033,2020-09-28 18:53:04,2457,171,"TRANSPARÊNCIA E FOCO: O governo e o Congresso precisam enfrentar o desafio de regulamentar o teto de gastos JÁ. Essa indefinição pode provocar mais uma crise que vai impactar a vida dos brasileiros, adiando ainda mais a recuperação econômica provocada pela pandemia."
1305815047541854209,2020-09-15 10:25:42,2540,412,"O que elevou o preço ao consumidor foi o vergonhoso aumento de alguns planos de saúde no meio da pandemia. Em alguns planos, o reajuste chegou a 25%. https://t.co/QDR4DrxQtR"
1296959218906529793,2020-08-21 23:55:48,378,18,"E também parabenizo o senador @EduardoBraga_AM , que trouxe esse debate ao Senado, a deputada @jandira_feghali, que tem projeto semelhante, além de outros deputados. Os brasileiros já estão enfrentando muitas dificuldades nesta pandemia e esta foi a melhor decisão a ser tomada."
1296581818116866049,2020-08-20 22:56:09,18795,852,"Resgatamos hoje o princípio que adotamos no início da pandemia, o de proteger o gasto público em defesa do cidadão. A manutenção do veto ao aumento de salários dos servidores vai permitir o financiamento da máquina pública - inclusive o pagamento em dia dos funcionários públicos."
1292156380330233856,2020-08-08 17:51:02,3277,142,"Estamos convivendo diariamente com a pandemia, mas não podemos ficar anestesiados e tratar com naturalidade esses números. Cada vida é única e importa. Em nome da Câmara dos Deputados, presto mais uma vez solidariedade aos familiares e amigos das vítimas desta grande tragédia."
1291053396930310145,2020-08-05 16:48:11,531,23,"Recebi hoje a embaixadora do Canadá no Brasil, @canjenmay. Conversamos sobre as pautas da Câmara durante a pandemia e os esforços para a retomada da nossa economia, em especial a reforma tributária e a melhora da qualidade do gasto público. https://t.co/dKhv6YUGO7"
1288853844034822144,2020-07-30 15:07:56,273,11,"O que aprovamos na madrugada foi a criação de uma linha de crédito, também dentro do Pronampe, de até R$ 100 mil para profissionais liberais minimizarem as perdas financeiras causadas pela pandemia."
1288813592297562113,2020-07-30 12:28:00,4214,219,Aprovamos nesta madrugada o direcionamento de R$ 12 bilhões para fortalecer o caixa de micro e pequenas empresas. Certamente é uma das medidas mais importantes aprovada pela Câmara dos Deputados nesta pandemia.
1288257124448047104,2020-07-28 23:36:47,1776,79,"A sanção de mais um projeto da Câmara nesta pandemia vai garantir apoio às famílias mais vulneráveis, pois libera R$ 1,5 bilhão adicional para ações de assistência social."
1285696919956860928,2020-07-21 22:03:27,564,28,"Aprovamos a carência de 120 dias no empréstimo consignado para quem foi demitido e de 90 dias para empregados que tiveram redução de salário, contrato suspenso ou foram contaminados pelo coronavírus. Essas medidas foram incluídas na MP 936 pela Câmara dos Deputados."
1284951668690493444,2020-07-19 20:42:05,1749,147,"O projeto virou lei e permite que o governo prorrogue o pagamento dos 600 reais enquanto durar a pandemia. TODOS os deputados e deputadas votaram a favor do auxílio, inclusive o trecho que permite ao governo estender a ajuda. Esses são os fatos. O resto é fakenews covarde."
1281343139245064192,2020-07-09 21:43:05,147,3,"A pandemia afetou muito os pequenos negócios, que estão fechando as portas por falta de capital de giro e por não terem como pagar funcionários. O crédito disponível não chegava na ponta."
1279949408948420611,2020-07-06 01:24:54,236,10,Temos que fazer um debate amplo após a pandemia sobre a situação de milhões de brasileiros que ficarão sem renda por muito tempo. Um novo programa social deve ir além da transferência de renda.
1279949406431838208,2020-07-06 01:24:53,3291,137,Continuo defendendo uma reunião entre os Poderes para discutirmos as matérias mais importantes para o Brasil. Vivemos uma situação muito grave com o impacto desta pandemia na vida das famílias. Esse é o momento de estarmos unidos. #gnewsdebate
1278465846566965248,2020-07-01 23:09:45,2771,198,"Aprovamos o adiamento das eleições municipais para os dias 15 e 29 de novembro. Infelizmente, ainda vivemos um momento muito crítico da pandemia, com seu avanço para o interior do país. A eleição não poderia comprometer as ações que buscam salvar vidas e proteger as famílias."
1278091142173790212,2020-06-30 22:20:48,841,30,"Neste momento de crise, numa pandemia nunca vivenciada pela nossa população, o Congresso Nacional, dialogando com o governo, criou um auxílio emergencial que atende mais de 60 milhões de brasileiros."
1270474434504261632,2020-06-09 21:54:44,3052,91,"Nos próximos dias, vamos retomar os trabalhos da comissão da reforma tributária. Há consenso na Câmara de que não há espaço para aumento da carga tributária. Ninguém tem condições de pagar mais impostos, principalmente depois desta pandemia."
1270474433099116544,2020-06-09 21:54:43,2377,61,"Acredito que depois do momento mais crítico da pandemia teremos condições de, junto com o governo e a sociedade, definir as condições para que esse benefício continue atendendo à população mais vulnerável."
1270126811490455552,2020-06-08 22:53:24,715,25,"Não podemos achar normal que, num momento como este, haja omissão de dados sobre a pandemia no Brasil. Acredito que até amanhã teremos uma posição satisfatória."
1269643104656797697,2020-06-07 14:51:19,4131,510,"Artigo do Persio Arida precisa ser lido. Endosso suas palavras, nosso maior problema hoje é que os recursos não estão chegando principalmente às micro e pequenas empresas. A falta de apoio vai agravar o problema do endividamento pós-pandemia. https://t.co/q06x9fv7LD"
1269418297587576832,2020-06-06 23:58:01,3870,223,"“Sobre os dados e informações de óbitos pelo covid, é urgente que o governo restabeleça isso o quanto antes. Estados e municípios precisam de transparência e desses dados para planejarem suas ações no combate ao coronavírus”. #LiveMaiaeTico"
1269418292873068544,2020-06-06 23:58:00,1584,81,“Sigo defendendo o isolamento social e sou contra qualquer aglomeração neste momento de pandemia. E manifestações que defendam o fechamento das instituições são um ataque violento à nossa democracia. Esse radicalismo enfraquece o futuro de milhões de brasileiros”. #LiveMaiaeTico
1267565737268428800,2020-06-01 21:16:36,2374,126,"Vou continuar defendendo a importância da nossa democracia, da nossa liberdade, contra qualquer tipo de visão autoritária. E cobrando a união de todos os que detém o poder no esforço de combater a pandemia, salvar vidas e a nossa economia da recessão. https://t.co/oXcRrIPzJO"
1265418590334996485,2020-05-26 23:04:36,6396,388,"Aprovamos hoje a ajuda de R$ 3 bilhões ao setor cultural durante a crise causada pelo coronavírus. Parabenizo a inciativa dos autores do projeto. Um setor tão importante para o futuro do nosso país, como é a cultura brasileira, não pode ser esquecido nesta pandemia. https://t.co/gtcTVbASry"
1265357048319016962,2020-05-26 19:00:04,1126,48,"Vivemos hoje um momento muito grave da nossa história. A voz dessa Casa de leis deve traduzir a voz da maioria dos brasileiros para unidos vencermos o grande desafio: derrotar o coronavírus, vencer a grave crise econômica que está à nossa frente, preservando a nossa democracia."
1265357040354017280,2020-05-26 19:00:02,4789,169,"A Câmara dos Deputados traz uma palavra de solidariedade às famílias que perderam seus entes queridos em razão do coronavírus. Dirijo-me também aos verdadeiros heróis, os que sacrificam as próprias vidas e o convívio familiar, fazendo o impossível para salvar os enfermos."
1263637489706729473,2020-05-22 01:07:09,721,22,"A indenização também é devida às famílias desses profissionais no caso de morte pela doença. Sabemos que nada substitui a dor pela perda de um ente querido, mas acreditamos que esta ação pode ajudar na reestruturação das famílias que sofrem com a pandemia."
1263637487970369536,2020-05-22 01:07:09,2365,95,Outra medida muito importante aprovada hoje pelos deputados prevê o pagamento de compensação financeira de R$ 50 mil aos profissionais e trabalhadores de saúde que ficaram permanentemente incapacitados por terem se contaminado atuando na linha de frente do combate ao coronavírus.
1263614546570289154,2020-05-21 23:35:59,577,23,"Aprovamos hoje medidas muito importantes para prevenir a disseminação do coronavírus entre os povos indígenas e quilombolas, grupos de extrema vulnerabilidade. https://t.co/NFU9kFfvC3"
