id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1283565384717697024,2020-07-16 00:53:29,49,4,Pretendo seguir cumprindo minhas responsabilidades por trabalho remoto e agradeço imensamente pelas mensagens de carinho e pelas orações. Seguimos em frente nesta luta contra o novo coronavírus com as bençãos do Nosso Senhor Jesus Cristo e de Senhora Sant'Ana. Venceremos!
1283565191108734982,2020-07-16 00:52:43,97,8,"Sempre prezei pela transparência em meus atos e agora, neste momento tão delicado, não poderia ser diferente. Mesmo tomando os cuidados necessários, mas trabalhando diariamente no combate à pandemia, recebi resultado positivo (detectável) no meu exame feito hoje para a Covid-19. https://t.co/Qdzzr1exBQ"
1269755673325248514,2020-06-07 22:18:38,122,16,"Também é preocupante o dado que demonstra que temos o terceiro pior isolamento social do país, 37,2%, quando o ideal é que cheguemos pelo menos a 60% para que os casos de coronavírus deixem de avançar. Precisamos reverter isso!"
1261325485361041409,2020-05-15 16:00:04,28,3,Vou tratar de plano de retomada da economia quando a curva de crescimento dos casos de coronavírus em Sergipe parar de subir. Precisamos ter respeito com as pessoas que estão ficando doentes.
1261317434981658624,2020-05-15 15:28:05,7,1,"Um lockdown para conter o número de casos de coronavírus, se vier a acontecer, será setorizado e previamente anunciado, com todas as especificações necessárias de funcionamento dos serviços."
1261313430667042817,2020-05-15 15:12:10,28,3,"Boa tarde a todos! Concederei em instantes entrevista por telefone na rádio Xodó FM em rede para todo o estado, sobre as ações do Governo de Sergipe no enfrentamento ao novo coronavírus. Me acompanhe! https://t.co/6XGns9XiUf"
1260889335039213574,2020-05-14 11:06:58,9,0,"É falso que não tenhamos um plano estruturado no enfrentamento ao coronavírus, dar uma declaração destas é desfazer todo um trabalho feito pela secretaria da Saúde e pelos estudos técnicos-científicos."
1260876250152873985,2020-05-14 10:14:58,14,3,"Estamos trabalhando para ter mais 6 leitos de UTI no HPM e mais 17 no Huse, exclusivos para o coronavírus, ainda esta semana. Também deveremos contratar leitos nos hospitais São José, Renascença, e HRAM."
1260874345276149760,2020-05-14 10:07:24,10,0,"Precisamos cuidar um dos outros e dos demais. Tivemos mais de 15 casos confirmados no Palácio de Despachos, onde trabalho, e mesmo fazendo todos os testes e dando negativo para o coronavírus, preferi trabalhar de forma isolada, trabalhando de Home office."
1250090475824066560,2020-04-14 15:56:09,58,7,"#PapoReto Não sou intransigente, mas estamos vivendo um período difícil de pandemia, que ninguém gostaria de passar e estamos tomando medidas duras para atravessar este momento sempre em defesa dos sergipanos."
1250085602034319365,2020-04-14 15:36:47,14,1,"#PapoReto Determinamos que as feiras podem continuar abertas, respeitando as normas de higiene sanitária contra o coronavírus, apenas para a venda de gêneros alimentícios e produtos agropecuários."
1250081430232858632,2020-04-14 15:20:13,16,2,"#PapoReto Não estou aqui para ser o único no combate ao coronavírus, estou para me somar a todas as forças da sociedade nesta luta pela vida."
1250079343105236993,2020-04-14 15:11:55,8,3,"#PapoReto As medidas que estamos tomando com o coronavírus não é para prender ninguém em casa, é para proteger as pessoas e é assim que temos a situação controlada para ter leitos suficientes de UTI para os que precisarem."
1247553658574815232,2020-04-07 15:55:45,12,4,"Vamos fazer todos os esforços, inclusive podendo até a requisitar leitos da rede particular. Pelo nosso acompanhamento, estamos com os casos de coronavírus sob controle, mas as medidas precisam ser respeitadas. Até o dia 16 nada será flexibilizado. #PapoReto"
1247547564263714817,2020-04-07 15:31:32,10,2,Faço questão de agradecer de coração principalmente para os trabalhadores da área da Saúde e da Segurança Pública. Quero que todo trabalhador dessas áreas que venha a falecer pelo coronavírus receba uma pensão para a família. #PapoReto
1247545912223825926,2020-04-07 15:24:58,9,1,"Temos um planejamento para chegar até a 500 leitos apenas para o coronavírus, com unidades prontas em todo o Estado. #PapoReto"
1247545376850182145,2020-04-07 15:22:50,15,1,"Teremos inicialmente 423 leitos apenas para o coronavírus, mas estamos preparando mais. Já iniciamos conversa com o prefeito @EdvaldoNogueira para um hospital de Campanha em Aracaju, mas precisamos equipá-lo. #PapoReto"
1241034406523002891,2020-03-20 16:10:34,10,3,"#Entrevista Estamos fazendo todos os esforços para enfrentar os efeitos da pandemia, mas precisamos do esforço de cada sergipano, que faça sua parte tomando as precauções necessárias."
1241032567576498176,2020-03-20 16:03:16,18,9,"#Entrevista Ainda hoje vamos publicar um decreto com todas as medidas. Peço para que todos, inclusive quem tiver críticas, leia e nos envie sugestões. Estamos abertos para isso, até porque o enfrentamento ao coronavírus precisa ser feito por todos."
1241028797765505024,2020-03-20 15:48:17,13,8,"#Entrevista Unidades de Saúde como o HPM, a Maternidade Hildete Falcão Batista e o CER-IV poderão e deverão ser utilizadas para ajudar a nossa rede a combater a pandemia do novocoronavírus."
1241026479695290371,2020-03-20 15:39:04,14,6,"Boa tarde à todos! Já estou ao vivo na Xodó FM em rede para todo o Estado de Sergipe, tratando das medidas sérias que estão sendo tomadas para enfrentar os efeitos do coronavírus https://t.co/msKkWK1csm"
1239677566253969413,2020-03-16 22:18:58,2,3,"* Recomenda-se à iniciativa privada e entidades religiosas a adotarem os mesmos mecanismos de restrição previstos;
-
Demais medidas podem ser acessadas no site do Governo (https://t.co/6N20pgtloZ)
#coronavírus #prevenção"
