id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1316505882683936768,2020-10-14 22:27:16,1,0,"@edu_goncalves1 O Estado reitera que o próprio Governo cancelou a compra de cestas básicas, antes mesmo de qualquer pagamento, e criou o Cartão Alimentação, um recurso fundamental aos alunos da rede estadual de ensino, para enfrentar a pandemia. Portanto, não houve prejuízos aos cofres públicos."
1316469347330686976,2020-10-14 20:02:05,0,0,"@ORockDoido O Estado reitera que o retorno às atividades presenciais é optativo, cabendo a escolha aos responsáveis pelo aluno. As instituições ficam obrigadas a manter a oferta de ensino remoto enquanto perdurarem os efeitos da pandemia no Pará. #EquipeHB"
1316209698727755778,2020-10-14 02:50:20,1,0,@paty_socorro @JosuCordeiro5 As instituições ficam obrigadas a manter a oferta de ensino remoto enquanto perdurarem os efeitos da pandemia no Pará. #EquipeHB
1316150903255298054,2020-10-13 22:56:42,1,0,@negreve_ As instituições ficam obrigadas a manter a oferta de ensino remoto enquanto perdurarem os efeitos da pandemia no Pará. #EquipeHB
1316110240178462726,2020-10-13 20:15:08,1,0,"@paty_socorro O retorno às aulas presenciais será optativo, cabendo a escolha aos   responsáveis pelo aluno. As instituições ficam obrigadas a manter a oferta de ensino remoto enquanto perdurarem os efeitos da pandemia no Pará. #EquipeHB"
1315812446821548032,2020-10-13 00:31:48,0,0,"@FelipeS90304072 O retorno às aulas presenciais será optativo, cabendo a escolha aos responsáveis pelo aluno. As instituições ficam obrigadas a manter a oferta de ensino remoto enquanto perdurarem os efeitos da pandemia no Pará. #EquipeHB"
1315423466460508160,2020-10-11 22:46:08,13,0,"@SniaSan06304516 O Estado reitera que o próprio Governo cancelou a compra de cestas básicas, antes mesmo de qualquer pagamento, e criou o Cartão Alimentação, um recurso fundamental aos alunos da rede estadual de ensino, para enfrentar a pandemia."
1314747213466271744,2020-10-10 01:58:57,0,0,"@indio86 @basilicanazare O Estado reitera que o próprio Governo cancelou a compra de cestas básicas, antes mesmo de qualquer pagamento, e criou o Cartão Alimentação, um recurso fundamental aos alunos da rede estadual de ensino, para enfrentar a pandemia. Portanto, não houve prejuízos aos cofres públicos."
1314696280900358146,2020-10-09 22:36:33,0,0,"@RosieneMesquit1 O Estado reitera que o próprio Governo cancelou a compra de cestas básicas, antes mesmo de qualquer pagamento, e criou o Cartão Alimentação, um recurso fundamental aos alunos da rede estadual de ensino, para enfrentar a pandemia. Portanto, não houve prejuízos aos cofres públicos."
1313818993233465344,2020-10-07 12:30:32,0,0,"@fabioroman82 @rclubeesporte @RBATV As Organizações sociais de Saúde são um modelo consagrado no Brasil inteiro pelos resultados que oferece. No Pará as OS’s atendem há muito anos. Nesta pandemia, o Governo teve que agir praticamente sozinho, quando hospitais municipais e privados fecharam as portas à população."
1313474611514933254,2020-10-06 13:42:05,0,0,"@Paulome20161904 @MarceloBacana As Organizações sociais de Saúde são um modelo consagrado no Brasil inteiro pelos resultados que oferece. No Pará as OS’s atendem há muito anos. Nesta pandemia, o Governo teve que agir praticamente sozinho, quando hospitais municipais e até privados fecharam as portas à população"
1313456098238660608,2020-10-06 12:28:31,0,0,"@hpa1968 @FabioTalhari @jdoriajr @wilsonwitzel As Organizações sociais de Saúde são um modelo consagrado no Brasil inteiro pelos resultados que oferece. No Pará as OS’s atendem há muito anos. Nesta pandemia, o Governo teve que agir praticamente sozinho, quando hospitais municipais e até privados fecharam as portas à população"
1313305529331191811,2020-10-06 02:30:12,0,0,"@Danillotavares7 As Organizações sociais de Saúde são um modelo consagrado no Brasil inteiro pelos resultados que oferece. No Pará as OS’s atendem há muitos anos.Nesta pandemia, o Governo teve que agir praticamente sozinho, quando hospitais municipais e até privados fecharam as portas à população"
1313250467317719040,2020-10-05 22:51:25,0,0,"@Paulome20161904 @JL2edicao As organizações sociais de saúde são modelo consagrado no Brasil inteiro pelos resultados que oferece. No pará, as OS’s atendem há muitos anos.
Nesta pandemia, o Governo teve que agir praticamente sozinho,  quando hospitais municipais até privados fecharam as portas à população.."
1313231394018127872,2020-10-05 21:35:37,0,0,"@jardellluca As organizações sociais de saúde são modelo consagrado no Brasil inteiro pelos resultados que oferece. No pará, as OS’s atendem há muitos anos.
Nesta pandemia, o Governo teve que agir praticamente sozinho,  quando hospitais municipais até privados fecharam as portas à população.."
1313137335236730881,2020-10-05 15:21:52,0,0,"@SuziRodrigues16 @Priante15 As Organizações sociais de Saúde são um modelo consagrado no Brasil inteiro pelos resultados que oferece. No Pará as OS’s atendem há muito anos.
Nesta pandemia, o Governo teve que agir praticamente sozinho, quando hospitais municipais e até privados fecharam as portas à população"
1313115037314228225,2020-10-05 13:53:16,2,0,"@sidneivicon As Organizações sociais de Saúde são um modelo consagrado no Brasil inteiro pelos resultados que oferece. No Pará as OS’s atendem há muito anos.
Nesta pandemia, o Governo teve que agir praticamente sozinho, quando hospitais municipais e até privados fecharam as portas à população"
