id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1299314665391095810,2020-08-28 11:55:30,41561,6360,"- ELEIÇÕES MUNICIPAIS:

- Decidi não participar, no 1° turno, nas eleições para prefeitos em todo o Brasil.

- Tenho muito trabalho na presidência e, tal atividade, tomaria todo meu tempo num momento de pandemia e retomada da nossa economia."
1298602885710741505,2020-08-26 12:47:09,14448,2865,"- A Economia do Brasil na pandemia.

. Link em nosso canal no YouTube: https://t.co/g26Gn1HiNr"
1297572158361735168,2020-08-23 16:31:24,39189,9726,"- OMS em 21/agosto: ""a pandemia é a prova de que saúde e economia são inseparáveis.""

- Desde março alertei que tínhamos 2 graves problemas, o vírus e o desemprego, e que ambos deveriam ser tratados simultaneamente.

. Link no YouTube: https://t.co/if6xJ9YzUY https://t.co/xN7Urjt7mz"
1293476873650003968,2020-08-12 09:18:12,4405,955,6. Prazo de validade das Carteiras do Idoso é prorrogado até janeiro de 2021. Resolução da Comissão Intergestores Tripartite do SUAS tem como foco a prevenção da transmissão do coronavírus. @MinCidadania . Mais informações: https://t.co/ThSb5Gr9l5 https://t.co/MDo5akkACv
1293475260633841666,2020-08-12 09:11:48,19245,3730,1. @govbr reforça assistência a indígenas durante a crise do coronavírus. Cerca de 1 milhão de itens entre equipamentos e insumos já foram enviados aos 34 DSEI do país. @DHumanosBrasil @minsaude @DamaresAlves . Detalhes: https://t.co/N1rlasg908 https://t.co/c2IqE4Pcdc
1292523099930468352,2020-08-09 18:08:15,13393,2719,"- Quanto à pandemia, não faltaram recursos, equipamentos e medicamentos para estados e municípios. Não se tem notícias, ou seriam raras, de filas em hospitais por falta de leitos UTIs ou respiradores."
1292522930279260160,2020-08-09 18:07:35,35686,7093,"- No Reino Unido, o Departamento de Saúde estima que 16 mil pessoas morreram das mais diversas formas, por não terem acesso ao Sistema de Saúde, devido à pandemia, enquanto 25 mil morreram de Covid-19. https://t.co/MknDb9c8NY"
1284868356496121856,2020-07-19 15:11:02,3904,953,2. Mais ações desta semana do @govbr no enfrentamento à pandemia da Covid19 e destaques ministeriais. Mais detalhes são encontrados nas redes sociais da @casacivilbr : https://t.co/vn95yuQ807 https://t.co/FMJIxYeJab
1283353669140979716,2020-07-15 10:52:12,5525,1174,"2- O prazo de cadastramento de bolsistas para o Programa de Combate a Epidemias foi prorrogado. O programa é voltado para pesquisas à prevenção e ao combate a surtos, endemias, epidemias e pandemias e destinará 2,6 mil bolsas. @CAPES_Oficial . Saiba mais: https://t.co/IA1jeGfH8V https://t.co/Sw1FDHX0sw"
1282319015302529025,2020-07-12 14:20:52,12366,2243,C- A realidade do futuro de cada família brasileira deve ser despolitizada da pandemia. Os números reais dessa guerra brevemente aparecerão.
