id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1314587332381732869,2020-10-09 15:23:38,98,7,"Com a compra de alimentos da agricultura familiar, durante a pandemia, já entregamos mais de 30 milhões de quilos de alimentos para 231 mil famílias em todo o Paraná! @onyxlorenzoni https://t.co/omQ4iAbEXd"
1311399824084865024,2020-09-30 20:17:37,170,18,"Paraná gerou mais de 17 mil empregos em Agosto! 👊🏼 Estamos entre os 4 estados que mais criam novas vagas no País. É o nosso melhor desempenho desde o início da pandemia e tudo isso graças a força dos paranaenses, do setor produtivo, dos empreendedores e de todos os trabalhadores!"
1305970392213975043,2020-09-15 20:42:59,32,3,"Com a nossa lei de tributação do e-commerce grandes empresas estão investindo cada vez mais na área que cresceu muito aqui no Paraná, principalmente durante a pandemia. 💪👊 @SuperMuffato https://t.co/UqMQBhIN9w"
1305569356332576776,2020-09-14 18:09:25,37,4,"Durante o evento também recebemos os R$ 101 milhões do Tribunal para o combate ao coronavírus. 

https://t.co/G7Ig6J95ds

@TJPRoficial @OABPR @assembleia_PR"
1296159061960990723,2020-08-19 18:56:16,10,1,"Dentro de alguns dias, começam a funcionar também os 30 leitos pediátricos e 10 leitos de UTI neonatal e pediátrica. Além disso, hoje, Ponta Grossa conta com 80 leitos para o tratamento de pacientes com coronavírus!"
1286399899622354945,2020-07-23 20:36:50,121,8,"Hoje recebemos o ministro da Saúde, @eduardopazuello, para conversarmos sobre ações conjuntas de enfrentamento à pandemia do coronavírus! Aqui no Paraná tratamos a pandemia com responsabilidade e estratégia. Parceria fundamental entre Governo Federal e Governo Estadual! 👊🏼 https://t.co/3lKFpu2NNt"
1286342585120956418,2020-07-23 16:49:06,62,4,"Aqui no Paraná tratamos a pandemia com responsabilidade e estratégia:
-testagem em massa
-novos leitos de UTI 
-isolamento controlado"
1286338002135011328,2020-07-23 16:30:53,68,1,Parceria entre o Governo Estadual e o Governo Federal no combate ao coronavírus!
1286336927415840768,2020-07-23 16:26:37,170,8,Hoje recebo o Ministro da Saúde @eduardopazuello e apresento as ações do Governo do Paraná no combate ao coronavírus!
1282729018165538818,2020-07-13 17:30:04,75,7,"Guarapuava! Mais 20 UTI’s adulto e 60 leitos de enfermaria para atendimento exclusivo de pacientes com coronavírus! 

https://t.co/kiTfSMfEHX"
1278316804436307968,2020-07-01 13:17:30,134,15,A pandemia não acabou! https://t.co/bRW5WgIMrY
1277685482437173250,2020-06-29 19:28:51,804,64,Equipe reunida para definir novas medidas para conter o avanço do coronavírus no Paraná e ajudar a salvar vidas 👊🙏 https://t.co/QcZzb6O95H
1276520202562408448,2020-06-26 14:18:27,100,16,"Escola Bonita avança! Mesmo em meio à pandemia, 43% das 2,1 mil escolas estaduais já usaram os R$ 20 milhões repassados no início do ano para a reforma dos locais. Estamos deixando as escolas preparadas para quando as aulas voltarem!

https://t.co/LAYWlAZwTy"
1276198563761053696,2020-06-25 17:00:22,198,23,"Boa notícia! Mesmo em meio a pandemia, o número de empresas aumentou no Paraná. 78 mil novos negócios foram abertos aqui no nosso Estado de janeiro a maio deste ano com a ajuda do Descomplica, programa lançado no ano passado para facilitar a vida de quem quer empreender. https://t.co/8XvFtoMQ4o"
1275842076568170497,2020-06-24 17:23:49,138,19,34 viaturas do Corpo de Bombeiros para 22 cidades paranaenses! 🚒🚐Neste momento de pandemia é ainda mais importante esses reforços para os municípios. https://t.co/kMhWyVHDWR
1274099988658864136,2020-06-19 22:01:23,150,23,"Na coletiva de imprensa feita virtualmente anunciamos as seguintes medidas para a diminuição de pessoas nas ruas e ajuda no combate ao coronavírus. Todas elas serão válidas por 14 dias.

Para todo Paraná: 

👉🏼A proibição da venda de bebidas alcoólicas a partir das 22h; https://t.co/qnZjqauXw7"
1273313662577651714,2020-06-17 17:56:48,96,12,Me reuni por videoconferência com os prefeitos Associação dos Municípios da Região Metropolitana de Curitiba! Falamos de medidas para reduzir a quantidade de pessoas nas ruas e no transporte coletivo para diminuir propagação do coronavírus. https://t.co/sqbBm9WjCp
1273026099040174080,2020-06-16 22:54:08,195,35,"Com as medidas certas e ajuda dos trabalhadores, o Porto de Paranaguá é exemplo de trabalho em meio à pandemia. https://t.co/OeG9VnIleF"
