id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1317104997964877824,2020-10-16 14:07:56,34,1,Sancionei a lei que obriga todas as empresas do Estado a fornecer EPIs aos funcionários durante a pandemia. Vivemos um momento delicado em que todos precisam compreender a necessidade de seguir os protocolos de segurança. https://t.co/cbtk8MHFKV
1316710856156119040,2020-10-15 12:01:46,53,7,"Com a missão de educar, eles não mediram esforços nesse período de pandemia, abusaram da criatividade e com muito empenho e dedicação fizeram o conhecimento chegar às nossas crianças e jovens. E hoje rendo minhas homenagens a todos os professores de Goiás. Feliz #DiaDoProfessor! https://t.co/4UrGktxSkF"
1316092407167975424,2020-10-13 19:04:16,51,9,"Cuidar de nossa gente é um dos pilares que norteiam nossa gestão. E nossos kits alimentação já começaram a ser distribuídos aos estudantes da rede estadual de ensino. Os produtos são adquiridos no comércio local de cada região, movimentando a economia nesse período de pandemia. https://t.co/zjFN8dlTK6"
1314898505899667456,2020-10-10 12:00:08,66,6,"Quando o governo trabalha com seriedade é o Estado inteiro que colhe os frutos. E vejam que maravilha: mesmo em meio a pandemia, nossa indústria cresceu 2,8% em agosto. Esse já é o 4º mês consecutivo de avanço nesse setor, segundo dados do IBGE. Leia mais: https://t.co/Cc8qudsu0M"
1313250070482104320,2020-10-05 22:49:50,46,10,"Sabemos que o setor foi um dos mais penalizados pela pandemia da Covid-19, mas hoje anuncio aqui a destinação de R$ 49 milhões da Lei Aldir Blanc aos trabalhadores informais da área. Obrigado presidente @jairbolsonaro por sempre voltar os olhos para o nosso Estado. https://t.co/xgvMYVy2I4"
1310227044639420422,2020-09-27 14:37:24,46,5,"O setor cultural tem sido duramente penalizado pela pandemia. Enviei à @assembleiago um projeto de lei para destinar R$ 120 mil ao Museu Casa de Cora Coralina. O documento foi aprovado, e vamos garantir que o local consiga enfrentar as dificuldades. 💪 https://t.co/HiZOL1Ca0W"
1309488393055809542,2020-09-25 13:42:16,35,5,"Sou o único governador médico no País. Como eu ia governar um Estado que não tinha um hospital no interior sem leito de UTI? Estamos falando de salvar vidas, minha gente. Regionalizamos a saúde durante a pandemia e criamos 7 HCamps."
1309102605319184385,2020-09-24 12:09:17,88,4,Muitos questionam a rigidez dos protocolos de segurança adotados contra o coronavírus para quem visita o Parque Nacional da Chapada dos Veadeiros e eu digo uma só coisa: precisamos cuidar das comunidades que lá vivem e não podemos deixar que o vírus chegue até lá. https://t.co/8p97U2nJp2
1304074103503097858,2020-09-10 15:07:49,34,4,"Mesmo com a pandemia, somos o segundo Estado que mais alavancou suas indústrias entre maio e julho de 2020, de acordo com o IBGE. Nosso trabalho não para, pensamos na frente e buscamos soluções com esforço contínuo. https://t.co/wsA7UacJJG"
1303078908561154049,2020-09-07 21:13:16,1035,100,"Falta de respeito aos protocolos de segurança tomou conta das cidades turísticas de Goiás no feriado. Sei da prerrogativa dada pelo STF aos prefeitos, mas precisamos atuar juntos. Indignado ao ver tanta aglomeração, muitos sem máscara. Atitudes que nos afastam do fim da pandemia. https://t.co/uZJ4bF38I7"
1301239899555852288,2020-09-02 19:25:42,29,5,"A OVG está oferecendo atendimento psicológico on-line a idosos, que ficaram mais suscetíveis a sofrer impactos emocionais na pandemia. O trabalho realizado no Centro de Idosos Vila Vida e nos espaços Bem Viver I e II já atendeu 150 idosos. Isso é respeito a essas pessoas. https://t.co/B6cun669jn"
1300811474810667015,2020-09-01 15:03:18,98,7,"Absurdo. Uma técnica de enfermagem foi espancada pela esposa de um paciente no HCamp de Catalão. Diante de uma pandemia, a rotina de um profissional da saúde é duplamente exaustiva. Respeito e empatia são o mínimo que podemos ter por quem está doando sua vida para salvar outras. https://t.co/2sMYp3WzQD"
1300043327853785088,2020-08-30 12:10:57,348,12,"Goiás é um dos cinco estados que terminará 2021 com o PIB maior que o nível pré-pandemia. E tudo isso se deve ao agronegócio. Como nosso setor industrial é voltado para alimentos e bebidas, que dependem do agro, a economia não parou. https://t.co/vkXmlOkzcN"
1298760931992899585,2020-08-26 23:15:10,89,11,"Reabriremos na sexta (28) o #CaminhoDeCoraCoralina, que estava sem receber visitantes desde o início da pandemia. Agora, com novos protocolos de saúde, vamos retomar as atividades com muita responsabilidade, movimentando o turismo goiano. https://t.co/B9tkYI8hov"
1298594117371531266,2020-08-26 12:12:18,51,5,"Com a pandemia, um dos setores mais atingidos foi o cultural. Artistas tiveram seus palcos fechados, mas nós entendemos que o show precisava continuar. Por meio do Fundo de Arte e Cultura repassamos quase R$1,5 MI entre março e junho para as atividades continuarem virtualmente. https://t.co/iOsoSinF7w"
1297972167624265728,2020-08-24 19:00:54,73,9,"Entre tantos desafios, saber que estamos entre os 5 estados com maior força para sair da crise até final de 2021 é ter a certeza de que nosso trabalho tem valido a pena. Fecharemos o próximo ano com PIB superior ao período pré-pandemia. O resultado só reforça a potência de Goiás. https://t.co/eQlvi4fS6X"
1295677489164046338,2020-08-18 11:02:40,174,9,"O Parque Nacional da Chapada dos Veadeiros será reaberto, adotando o protocolo de segurança contra o coronavírus. O funcionamento será das 8h às 12h, com saída até às 18h, e só será permitido 60% da capacidade. Ah,e máscara de proteção é obrigatória para a entrada no Parque, viu? https://t.co/VnxSebfnzv"
1293265961181683713,2020-08-11 19:20:07,66,7,"A indústria goiana continua em expansão. Uma pesquisa do IBGE, mostrou que crescemos 5,4% no mês de junho/2020 comparado a junho/2019, nos colocando em 1º lugar no ranking nacional. Mesmo com a pandemia, estamos vencendo os desafios e gerando emprego e renda para nossa gente. https://t.co/j4herZ3pzw"
1293163808463245312,2020-08-11 12:34:12,74,4,"Perdemos mais um policial militar para a Covid-19 em nosso Estado. O 2° sargento José Nilson Berto de Oliveira tinha 46 anos. 25 deles, dedicados à segurança de nossa gente. Meus sentimentos e que Deus dê força aos familiares dele e de todas a vítimas do coronavírus. #luto https://t.co/jNeyViA3et"
