id,postado_em:,numero_de_favoritos,numero_de_retweets,texto
1308048778084126721,2020-09-21 14:21:45,340,37,"Tomei a decisão de repassar o limite constitucional de 12% para a Saúde e para os municípios. Não fosse essa ação, a pandemia teria sido muito pior no RJ! Infelizmente, Edmar e Edson Torres, bandidos confessos, se infiltraram no Governo e agora querem me incriminar."
1293621589351833602,2020-08-12 18:53:15,210,8,"Ao @jdoriajr, meu colega governador de SP, desejo pronta recuperação. Que você em breve esteja de volta à linha de frente do combate ao coronavírus."
1292543607979868162,2020-08-09 19:29:45,112,4,"Neste Dia dos Pais, agradeço o empenho de prefeitas e prefeitos, deputadas e deputados, e da população do RJ na luta contra o coronavírus. Hoje somos um dos poucos estados com risco baixo de contágio. Lamento cada vida perdida e seguirei firme no enfrentamento da Covid-19. https://t.co/FBLmgpq4Px"
1286040435836821509,2020-07-22 20:48:28,80,2,"Lamento a morte do cacique Domingos Venite, líder da maior tribo indígena do RJ, guarani Sapukai, em Angra dos Reis. Infectado com o novo coronavírus, ele foi sepultado na tarde de hoje (22). Seguimos firmes na luta contra a Covid-19."
1285713427047096325,2020-07-21 23:09:03,75,3,"O mundo perdeu muitas vidas nesta pandemia que ainda enfrentamos, e no RJ nós também tivemos milhares de perdas. Agora, dados do Painel Coronavírus, criado pela @SaudeGovRJ, revelam uma queda no número de óbitos nas últimas semanas. Seguimos trabalhando para vencer a Covid-19. https://t.co/hnAO1iWeN0"
1285567613507121152,2020-07-21 13:29:38,134,4,"Foi fundamental aplicarmos as medidas restritivas quando a pandemia foi detectada no país. Hoje, o RJ é um dos estados em que o número de casos está em queda. Isso nos permite uma reabertura de forma gradual e segura, com base nos boletins da área técnica. https://t.co/LPnQzy3XYi"
1284994227194167296,2020-07-19 23:31:12,86,9,"Vai ao ar logo mais, à meia noite, na #CNT, a entrevista que gravei para o programa #JogoDoPoder. É mais uma oportunidade de mostrar à população nossos planos para a rabertura econômica do RJ pós-pandemia e os projetos de segurança pública."
1280273623882883073,2020-07-06 22:53:12,49,2,"Graças ao trabalho de mulheres e homens da Saúde, o RJ chega à marca de 100 mil recuperados do coronavírus. Cada vida salva é um estimulo a mais para continuarmos trabalhando pela população. 
#RJContraOCoronavírus https://t.co/vofL8JQEhP"
1279888297087701005,2020-07-05 21:22:03,76,7,"A @UERJ_oficial, mais uma vez, orgulha a população fluminense. O Instituto de Psicologia da universidade vai representar o Brasil em uma pesquisa mundial sobre adaptação social durante a pandemia do Covid-19. https://t.co/uFPF7p3iNn"
1279758149344428038,2020-07-05 12:44:54,68,3,"O trabalho ainda está em andamento, portanto ainda não se sabe o percentual real de contratos com suspeitas de irregularidade. Esse é um momento em que o RJ precisa de união para superar a imensa crise financeira decorrente da pandemia. Todos os culpados serão punidos."
1279757997305147392,2020-07-05 12:44:17,322,14,"Determinei à Controladoria Geral do Estado (CGE), por meio do Decreto 47.039/20, que todos os contratos da Saúde, celebrados durante o período do coronavírus, fossem auditados."
1279476364593238017,2020-07-04 18:05:11,38,0,"O @HEMORIO tem feito um excelente trabalho neste período de pandemia. Há mais de dois meses começaram as testagens com plasma. Nesse período, mais de mil pessoas se candidataram. Todo o processo de coleta de plasma é seguro para quem vai doar e para quem vai receber. https://t.co/Xrd4ZLmSHv"
1278066176762023940,2020-06-30 20:41:36,35,0,"Para garantir a segurança de mulheres e crianças em situação de violência doméstica, sancionei hoje uma lei que estabelece protocolo de prevenção e acolhimento durante a pandemia."
1277987224852877316,2020-06-30 15:27:52,120,13,"Quero agradecer às trabalhadoras e aos trabalhadores do transporte alternativo pelo serviço essencial que prestam à população. Em nossa gestão, essa categoria sempre foi valorizada e continuaremos ajudando o setor, que foi bastante prejudicado pela pandemia. https://t.co/FuR5Ro1fDZ"
